Year,Project,Trip Number,ADFG Number,Vessel Name,Trip Comments,Effort Number,Groundfish Stat Area,Station Number,Start Latitude Decimal Degrees,Start Longitude Decimal Degrees,End Latitude Decimal Degrees,End Longitude Decimal Degrees,Time Second Anchor Overboard,Time First Anchor Onboard,Time Second Anchor Onboard,Soak Time,Haul Back Order,Number of Pots Set,Number of Pots Retrieved,Pot Type,Start Depth Fathoms,End Depth Fathoms,Average Depth Fathoms,Substrate Type,Effort Comments,Pot Number in Order Set,Pot Number in Order Hauled,Depth Fathoms,Pot Type,Pot Lost or Compromised,Subset Comments,Specimen Number,Tag Batch Number,Tag Number,Species Code,Species,Length Type Code,Length Millimeters,Release Condition Code,Release Condition,Discard Status Code,Discard Status,Specimen Comments
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,2,2,216,Lg. Slinky,N,,11,31,118200,710,Sablefish,1,550,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,2,2,216,Lg. Slinky,N,,12,31,118201,710,Sablefish,1,490,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,13,31,118202,710,Sablefish,1,600,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,14,31,118203,710,Sablefish,1,580,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,15,31,118204,710,Sablefish,1,560,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,16,31,118205,710,Sablefish,1,560,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,17,31,118206,710,Sablefish,1,560,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,18,31,118207,710,Sablefish,1,520,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,19,31,118208,710,Sablefish,1,610,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,20,31,118209,710,Sablefish,1,550,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,21,31,118210,710,Sablefish,1,550,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,22,31,118211,710,Sablefish,1,530,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,23,31,118212,710,Sablefish,1,470,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,24,31,118213,710,Sablefish,1,550,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,25,31,118214,710,Sablefish,1,510,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,26,31,118215,710,Sablefish,1,630,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,27,31,118216,710,Sablefish,1,490,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,3,3,215,Sm. Slinky,N,,28,31,118217,710,Sablefish,1,540,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,4,4,215,Lg. Slinky,N,,29,31,118218,710,Sablefish,1,610,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,4,4,215,Lg. Slinky,N,,30,31,118219,710,Sablefish,1,580,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,4,4,215,Lg. Slinky,N,,31,31,118220,710,Sablefish,1,610,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,4,4,215,Lg. Slinky,N,,32,31,118221,710,Sablefish,1,620,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,4,4,215,Lg. Slinky,N,,33,31,118222,710,Sablefish,1,520,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,4,4,215,Lg. Slinky,N,,34,31,118223,710,Sablefish,1,590,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,4,4,215,Lg. Slinky,N,,35,31,118224,710,Sablefish,1,470,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,4,4,215,Lg. Slinky,N,,36,31,118225,710,Sablefish,1,560,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,5,5,215,Sm. Slinky,N,,37,31,118226,710,Sablefish,1,620,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,5,5,215,Sm. Slinky,N,,38,31,118227,710,Sablefish,1,590,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,5,5,215,Sm. Slinky,N,,39,31,118228,710,Sablefish,1,570,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,5,5,215,Sm. Slinky,N,,40,31,118229,710,Sablefish,1,610,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,5,5,215,Sm. Slinky,N,,41,31,118230,710,Sablefish,1,560,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,5,5,215,Sm. Slinky,N,,42,31,118231,710,Sablefish,1,580,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,6,6,214,Lg. Slinky,N,,43,31,118232,710,Sablefish,1,560,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,6,6,214,Lg. Slinky,N,,44,31,118233,710,Sablefish,1,550,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,6,6,214,Lg. Slinky,N,,45,31,118234,710,Sablefish,1,710,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,6,6,214,Lg. Slinky,N,,46,31,118235,710,Sablefish,1,490,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,6,6,214,Lg. Slinky,N,,47,31,118236,710,Sablefish,1,580,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,6,6,214,Lg. Slinky,N,,48,31,118237,710,Sablefish,1,560,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,6,6,214,Lg. Slinky,N,,49,31,118238,710,Sablefish,1,590,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,6,6,214,Lg. Slinky,N,,50,31,118239,710,Sablefish,1,580,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,6,6,214,Lg. Slinky,N,,51,31,118240,710,Sablefish,1,530,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,6,6,214,Lg. Slinky,N,,52,31,118241,710,Sablefish,1,490,1,Presumed healthy,5,Tagged and released,
2023,Clarence Sablefish Pot Survey,1,36135,LEA,Crew: Rhea Ehresmann and CL Roberts. Side-by-side pot vs longline comparison study.,1,315502,107,55.212867,-131.93815,55.187967,-131.936583,5/23/2023 5:49,5/23/2023 13:50,5/23/2023 18:01,8:01,Same,38,38,Multiple,216,197,209,Sand,Accidentally set 38 pots instead of 40. Bycatch not split out by pot for this set.,6,6,214,Lg. Slinky,N,,53,31,118242,710,Sablefish,1,520,1,Presumed healthy,5,Tagged and released,
