Parameter,Estimate,SE,Sex,Source,Years,Region,Function,n,Notes
t0,-7.320646064905041,0.2580561207867049,Female,ADFG longline survey,1997-2022,Chatham Strait,Weight-based LVB,8348,seak_sablefish/code/biological.r
w_inf,3.4870435681448444,0.022673340432923687,Male,ADFG longline survey,1997-2022,Chatham Strait,Weight-based LVB,7009,seak_sablefish/code/biological.r
k,0.1445527328859751,0.003784505460268531,Male,ADFG longline survey,1997-2022,Chatham Strait,Weight-based LVB,7009,seak_sablefish/code/biological.r
t0,-6.457493938766983,0.2646530707394248,Male,ADFG longline survey,1997-2022,Chatham Strait,Weight-based LVB,7009,seak_sablefish/code/biological.r
w_inf,4.356730054995698,0.02936233979968471,Combined,ADFG longline survey,1997-2022,Chatham Strait,Weight-based LVB,15357,seak_sablefish/code/biological.r
k,0.14387911293193248,0.0029727864189623815,Combined,ADFG longline survey,1997-2022,Chatham Strait,Weight-based LVB,15357,seak_sablefish/code/biological.r
t0,-5.4301821931818575,0.182212196696834,Combined,ADFG longline survey,1997-2022,Chatham Strait,Weight-based LVB,15357,seak_sablefish/code/biological.r
w_inf,7.214745123777204,0.08563398540347474,Female,EQS longline fishery,2002-2021,Chatham Strait,Weight-based LVB,18768,seak_sablefish/code/biological.r
k,0.0665583922197607,0.0018854107043263174,Female,EQS longline fishery,2002-2021,Chatham Strait,Weight-based LVB,18768,seak_sablefish/code/biological.r
t0,-14.815271075822555,0.4598870796993809,Female,EQS longline fishery,2002-2021,Chatham Strait,Weight-based LVB,18768,seak_sablefish/code/biological.r
w_inf,3.828737685448142,0.025828495685819537,Male,EQS longline fishery,2002-2021,Chatham Strait,Weight-based LVB,11356,seak_sablefish/code/biological.r
k,0.0884636988864302,0.003497729243094282,Male,EQS longline fishery,2002-2021,Chatham Strait,Weight-based LVB,11356,seak_sablefish/code/biological.r
t0,-16.491750433178872,0.7980570048274395,Male,EQS longline fishery,2002-2021,Chatham Strait,Weight-based LVB,11356,seak_sablefish/code/biological.r
w_inf,4.875462000079076,0.025621890779250853,Combined,EQS longline fishery,2002-2021,Chatham Strait,Weight-based LVB,15357,seak_sablefish/code/biological.r
k,0.11253854257939191,0.002724711307305553,Combined,EQS longline fishery,2002-2021,Chatham Strait,Weight-based LVB,15357,seak_sablefish/code/biological.r
t0,-9.915808247649535,0.34461490514112664,Combined,EQS longline fishery,2002-2021,Chatham Strait,Weight-based LVB,15357,seak_sablefish/code/biological.r
l_inf,65.269,0.341,Male,NOAA Longline,1981-1993,Coastwide,Length-based LVB,30,Hanselman et al. 2007 Appendix 3C
k,0.227,0.029,Male,NOAA Longline,1981-1993,Coastwide,Length-based LVB,30,Hanselman et al. 2007 Appendix 3C
t0,-4.092,0.936,Male,NOAA Longline,1981-1993,Coastwide,Length-based LVB,30,Hanselman et al. 2007 Appendix 3C
l_inf,67.774,0.127,Male,NOAA Longline,1996-2004,Coastwide,Length-based LVB,4889,Hanselman et al. 2007 Appendix 3C
k,0.29,0.009,Male,NOAA Longline,1996-2004,Coastwide,Length-based LVB,4889,Hanselman et al. 2007 Appendix 3C
t0,-2.273,0.171,Male,NOAA Longline,1996-2004,Coastwide,Length-based LVB,4889,Hanselman et al. 2007 Appendix 3C
l_inf,75.568,0.46,Female,NOAA Longline,1981-1993,Coastwide,Length-based LVB,31,Hanselman et al. 2007 Appendix 3C
k,0.208,0.018,Female,NOAA Longline,1981-1993,Coastwide,Length-based LVB,31,Hanselman et al. 2007 Appendix 3C
t0,-3.629,0.523,Female,NOAA Longline,1981-1993,Coastwide,Length-based LVB,31,Hanselman et al. 2007 Appendix 3C
l_inf,80.22,0.221,Female,NOAA Longline,1996-2004,Coastwide,Length-based LVB,5767,Hanselman et al. 2007 Appendix 3C
k,0.222,0.005,Female,NOAA Longline,1996-2004,Coastwide,Length-based LVB,5767,Hanselman et al. 2007 Appendix 3C
t0,-1.949,0.119,Female,NOAA Longline,1996-2004,Coastwide,Length-based LVB,5767,Hanselman et al. 2007 Appendix 3C
l_inf,70.818,NA,Male,NOAA Longline,1981-1993,Southeast Slope,Length-based LVB,NA,Hanselman et al. 2007 Appendix 3C
k,0.097,NA,Male,NOAA Longline,1981-1993,Southeast Slope,Length-based LVB,NA,Hanselman et al. 2007 Appendix 3C
t0,11.369,NA,Male,NOAA Longline,1981-1993,Southeast Slope,Length-based LVB,NA,Hanselman et al. 2007 Appendix 3C
l_inf,68.343,NA,Male,NOAA Longline,1996-2004,Southeast Slope,Length-based LVB,605,Hanselman et al. 2007 Appendix 3C
k,0.307,NA,Male,NOAA Longline,1996-2004,Southeast Slope,Length-based LVB,605,Hanselman et al. 2007 Appendix 3C
t0,-1.714,NA,Male,NOAA Longline,1996-2004,Southeast Slope,Length-based LVB,605,Hanselman et al. 2007 Appendix 3C
l_inf,78.854,NA,Female,NOAA Longline,1981-1993,Southeast Slope,Length-based LVB,NA,Hanselman et al. 2007 Appendix 3C
k,0.153,NA,Female,NOAA Longline,1981-1993,Southeast Slope,Length-based LVB,NA,Hanselman et al. 2007 Appendix 3C
t0,-5.348,NA,Female,NOAA Longline,1981-1993,Southeast Slope,Length-based LVB,NA,Hanselman et al. 2007 Appendix 3C
l_inf,80.919,NA,Female,NOAA Longline,1996-2004,Southeast Slope,Length-based LVB,515,Hanselman et al. 2007 Appendix 3C
k,0.268,NA,Female,NOAA Longline,1996-2004,Southeast Slope,Length-based LVB,515,Hanselman et al. 2007 Appendix 3C
t0,-0.854,NA,Female,NOAA Longline,1996-2004,Southeast Slope,Length-based LVB,515,Hanselman et al. 2007 Appendix 3C
a,1.24e-5,NA,Male,NOAA Longline,1996-2004,Coastwide,Allometric,4889,Hanselman et al. 2007 Appendix 3C
b,2.96,NA,Male,NOAA Longline,1996-2004,Coastwide,Allometric,4889,Hanselman et al. 2007 Appendix 3C
a,1.01e-5,NA,Female,NOAA Longline,1996-2004,Coastwide,Allometric,5767,Hanselman et al. 2007 Appendix 3C
b,3.015,NA,Female,NOAA Longline,1996-2004,Coastwide,Allometric,5767,Hanselman et al. 2007 Appendix 3C
w_inf,3.162,NA,Male,NOAA Longline,1996-2004,Coastwide,Weight-based LVB,4889,Hanselman et al. 2007 Appendix 3C
k,0.356,NA,Male,NOAA Longline,1996-2004,Coastwide,Weight-based LVB,4889,Hanselman et al. 2007 Appendix 3C
t0,-1.129,NA,Male,NOAA Longline,1996-2004,Coastwide,Weight-based LVB,4889,Hanselman et al. 2007 Appendix 3C
w_inf,5.471,NA,Female,NOAA Longline,1996-2004,Coastwide,Weight-based LVB,5767,Hanselman et al. 2007 Appendix 3C
k,0.238,NA,Female,NOAA Longline,1996-2004,Coastwide,Weight-based LVB,5767,Hanselman et al. 2007 Appendix 3C
t0,-1.387,NA,Female,NOAA Longline,1996-2004,Coastwide,Weight-based LVB,5767,Hanselman et al. 2007 Appendix 3C
