year,Source,Sex,length_bin,n,proportion
2009,LL survey,Sex combined,41,0,0
2010,LL survey,Sex combined,41,0,0
2011,LL survey,Sex combined,41,0,0
2012,LL survey,Sex combined,41,1,0.0014
2013,LL survey,Sex combined,41,0,0
2014,LL survey,Sex combined,41,0,0
2015,LL survey,Sex combined,41,0,0
2016,LL survey,Sex combined,41,0,0
2017,LL survey,Sex combined,41,0,0
2018,LL survey,Sex combined,41,0,0
1997,LL survey,Sex combined,41,2,0.0034
1998,LL survey,Sex combined,41,0,0
1999,LL survey,Sex combined,41,0,0
2000,LL survey,Sex combined,41,0,0
2001,LL survey,Sex combined,41,0,0
2002,Pot survey,Sex combined,41,0,0
2006,Pot survey,Sex combined,41,0,0
2007,Pot survey,Sex combined,41,0,0
2008,Pot survey,Sex combined,41,0,0
2009,Pot survey,Sex combined,41,0,0
2002,LL fishery,Female,43,0,0
2003,LL fishery,Female,43,0,0
2004,LL fishery,Female,43,0,0
2005,LL fishery,Female,43,0,0
2006,LL fishery,Female,43,0,0
2007,LL fishery,Female,43,0,0
2008,LL fishery,Female,43,0,0
2009,LL fishery,Female,43,0,0
2010,LL fishery,Female,43,0,0
2011,LL fishery,Female,43,0,0
2012,LL fishery,Female,43,0,0
2013,LL fishery,Female,43,0,0
2014,LL fishery,Female,43,0,0
2015,LL fishery,Female,43,0,0
2016,LL fishery,Female,43,0,0
2017,LL fishery,Female,43,0,0
2018,LL fishery,Female,43,0,0
2002,LL survey,Female,43,0,0
2003,LL survey,Female,43,0,0
2004,LL survey,Female,43,0,0
2005,LL survey,Female,43,0,0
2006,LL survey,Female,43,0,0
2007,LL survey,Female,43,0,0
2008,LL survey,Female,43,0,0
2009,LL survey,Female,43,0,0
2010,LL survey,Female,43,0,0
2011,LL survey,Female,43,0,0
2012,LL survey,Female,43,0,0
2013,LL survey,Female,43,0,0
2014,LL survey,Female,43,0,0
2015,LL survey,Female,43,0,0
2016,LL survey,Female,43,0,0
2017,LL survey,Female,43,1,0.0028
2018,LL survey,Female,43,1,0.0028
1997,LL survey,Female,43,0,0
1998,LL survey,Female,43,1,0.0049
1999,LL survey,Female,43,0,0
2000,LL survey,Female,43,0,0
2001,LL survey,Female,43,0,0
2002,Pot survey,Female,43,1,0.0035
2006,Pot survey,Female,43,0,0
2007,Pot survey,Female,43,0,0
2008,Pot survey,Female,43,0,0
2009,Pot survey,Female,43,0,0
2002,LL fishery,Male,43,0,0
2003,LL fishery,Male,43,0,0
2004,LL fishery,Male,43,0,0
2005,LL fishery,Male,43,0,0
2006,LL fishery,Male,43,0,0
2007,LL fishery,Male,43,0,0
2008,LL fishery,Male,43,0,0
2009,LL fishery,Male,43,0,0
2010,LL fishery,Male,43,0,0
2011,LL fishery,Male,43,0,0
2012,LL fishery,Male,43,0,0
2013,LL fishery,Male,43,0,0
2014,LL fishery,Male,43,0,0
2015,LL fishery,Male,43,0,0
2016,LL fishery,Male,43,1,0.0019
2017,LL fishery,Male,43,0,0
2018,LL fishery,Male,43,0,0
2002,LL survey,Male,43,0,0
2003,LL survey,Male,43,0,0
2004,LL survey,Male,43,0,0
2005,LL survey,Male,43,0,0
2006,LL survey,Male,43,0,0
2007,LL survey,Male,43,0,0
2008,LL survey,Male,43,0,0
2009,LL survey,Male,43,0,0
2010,LL survey,Male,43,0,0
2011,LL survey,Male,43,0,0
2012,LL survey,Male,43,0,0
2013,LL survey,Male,43,0,0
2014,LL survey,Male,43,0,0
2015,LL survey,Male,43,0,0
2016,LL survey,Male,43,1,0.0041
2017,LL survey,Male,43,0,0
2018,LL survey,Male,43,0,0
1997,LL survey,Male,43,1,0.0034
1998,LL survey,Male,43,0,0
1999,LL survey,Male,43,0,0
2000,LL survey,Male,43,0,0
2001,LL survey,Male,43,0,0
2002,Pot survey,Male,43,0,0
2006,Pot survey,Male,43,0,0
2007,Pot survey,Male,43,1,0.0035
2008,Pot survey,Male,43,0,0
2009,Pot survey,Male,43,1,0.0038
2002,LL fishery,Sex combined,43,0,0
2003,LL fishery,Sex combined,43,0,0
2004,LL fishery,Sex combined,43,0,0
2005,LL fishery,Sex combined,43,0,0
2006,LL fishery,Sex combined,43,0,0
2007,LL fishery,Sex combined,43,0,0
2008,LL fishery,Sex combined,43,0,0
2009,LL fishery,Sex combined,43,0,0
2010,LL fishery,Sex combined,43,0,0
2011,LL fishery,Sex combined,43,0,0
2012,LL fishery,Sex combined,43,0,0
2013,LL fishery,Sex combined,43,0,0
2014,LL fishery,Sex combined,43,0,0
2015,LL fishery,Sex combined,43,0,0
2016,LL fishery,Sex combined,43,1,7e-4
2017,LL fishery,Sex combined,43,0,0
2018,LL fishery,Sex combined,43,0,0
2002,LL survey,Sex combined,43,0,0
2003,LL survey,Sex combined,43,0,0
2004,LL survey,Sex combined,43,0,0
2005,LL survey,Sex combined,43,0,0
2006,LL survey,Sex combined,43,0,0
2007,LL survey,Sex combined,43,0,0
2008,LL survey,Sex combined,43,0,0
2009,LL survey,Sex combined,43,0,0
2010,LL survey,Sex combined,43,0,0
2011,LL survey,Sex combined,43,0,0
2012,LL survey,Sex combined,43,0,0
2013,LL survey,Sex combined,43,0,0
2014,LL survey,Sex combined,43,0,0
2015,LL survey,Sex combined,43,0,0
2016,LL survey,Sex combined,43,1,0.0018
2017,LL survey,Sex combined,43,1,0.0016
2018,LL survey,Sex combined,43,1,0.0017
1997,LL survey,Sex combined,43,1,0.0017
1998,LL survey,Sex combined,43,1,0.0027
1999,LL survey,Sex combined,43,0,0
2000,LL survey,Sex combined,43,0,0
2001,LL survey,Sex combined,43,0,0
2002,Pot survey,Sex combined,43,1,0.0019
2006,Pot survey,Sex combined,43,0,0
2007,Pot survey,Sex combined,43,1,0.0015
2008,Pot survey,Sex combined,43,0,0
2009,Pot survey,Sex combined,43,1,0.0014
2002,LL fishery,Female,45,0,0
2003,LL fishery,Female,45,0,0
2004,LL fishery,Female,45,0,0
2005,LL fishery,Female,45,0,0
2006,LL fishery,Female,45,0,0
2007,LL fishery,Female,45,0,0
2008,LL fishery,Female,45,0,0
2009,LL fishery,Female,45,0,0
2010,LL fishery,Female,45,0,0
2011,LL fishery,Female,45,0,0
2012,LL fishery,Female,45,0,0
2013,LL fishery,Female,45,0,0
2014,LL fishery,Female,45,0,0
2015,LL fishery,Female,45,0,0
2016,LL fishery,Female,45,0,0
2017,LL fishery,Female,45,0,0
2018,LL fishery,Female,45,0,0
2002,LL survey,Female,45,0,0
2003,LL survey,Female,45,0,0
2004,LL survey,Female,45,0,0
2005,LL survey,Female,45,0,0
2006,LL survey,Female,45,0,0
2007,LL survey,Female,45,0,0
2008,LL survey,Female,45,0,0
2009,LL survey,Female,45,0,0
2010,LL survey,Female,45,4,0.0124
2011,LL survey,Female,45,0,0
2012,LL survey,Female,45,0,0
2013,LL survey,Female,45,0,0
2014,LL survey,Female,45,0,0
2015,LL survey,Female,45,0,0
2016,LL survey,Female,45,0,0
2017,LL survey,Female,45,4,0.0114
2018,LL survey,Female,45,4,0.0111
1997,LL survey,Female,45,0,0
1998,LL survey,Female,45,0,0
1999,LL survey,Female,45,1,0.0064
2000,LL survey,Female,45,1,0.0044
2001,LL survey,Female,45,0,0
2002,Pot survey,Female,45,3,0.0105
2006,Pot survey,Female,45,0,0
2007,Pot survey,Female,45,0,0
2008,Pot survey,Female,45,0,0
2009,Pot survey,Female,45,0,0
2002,LL fishery,Male,45,0,0
2003,LL fishery,Male,45,0,0
2004,LL fishery,Male,45,0,0
2005,LL fishery,Male,45,0,0
2006,LL fishery,Male,45,0,0
2007,LL fishery,Male,45,0,0
2008,LL fishery,Male,45,0,0
2009,LL fishery,Male,45,0,0
2010,LL fishery,Male,45,0,0
2011,LL fishery,Male,45,0,0
2012,LL fishery,Male,45,0,0
2013,LL fishery,Male,45,0,0
2014,LL fishery,Male,45,0,0
2015,LL fishery,Male,45,0,0
2016,LL fishery,Male,45,1,0.0019
2017,LL fishery,Male,45,0,0
2018,LL fishery,Male,45,0,0
2002,LL survey,Male,45,1,0.0028
2003,LL survey,Male,45,1,0.0024
2004,LL survey,Male,45,0,0
2005,LL survey,Male,45,0,0
2006,LL survey,Male,45,0,0
2007,LL survey,Male,45,0,0
2008,LL survey,Male,45,0,0
2009,LL survey,Male,45,0,0
2010,LL survey,Male,45,0,0
2011,LL survey,Male,45,0,0
2012,LL survey,Male,45,2,0.0062
2013,LL survey,Male,45,0,0
2014,LL survey,Male,45,1,0.0035
2015,LL survey,Male,45,1,0.0048
2016,LL survey,Male,45,2,0.0082
2017,LL survey,Male,45,5,0.0191
2018,LL survey,Male,45,3,0.013
1997,LL survey,Male,45,1,0.0034
1998,LL survey,Male,45,0,0
1999,LL survey,Male,45,1,0.0053
2000,LL survey,Male,45,2,0.0101
2001,LL survey,Male,45,2,0.005
2002,Pot survey,Male,45,1,0.0043
2006,Pot survey,Male,45,0,0
2007,Pot survey,Male,45,1,0.0035
2008,Pot survey,Male,45,1,0.0047
2009,Pot survey,Male,45,0,0
2002,LL fishery,Sex combined,45,0,0
2003,LL fishery,Sex combined,45,0,0
2004,LL fishery,Sex combined,45,0,0
2005,LL fishery,Sex combined,45,0,0
2006,LL fishery,Sex combined,45,0,0
2007,LL fishery,Sex combined,45,0,0
2008,LL fishery,Sex combined,45,0,0
2009,LL fishery,Sex combined,45,0,0
2010,LL fishery,Sex combined,45,0,0
2011,LL fishery,Sex combined,45,0,0
2012,LL fishery,Sex combined,45,0,0
2013,LL fishery,Sex combined,45,0,0
2014,LL fishery,Sex combined,45,0,0
2015,LL fishery,Sex combined,45,0,0
2016,LL fishery,Sex combined,45,1,7e-4
2017,LL fishery,Sex combined,45,0,0
2018,LL fishery,Sex combined,45,0,0
2002,LL survey,Sex combined,45,1,0.0015
2003,LL survey,Sex combined,45,1,0.0012
2004,LL survey,Sex combined,45,0,0
2005,LL survey,Sex combined,45,0,0
2006,LL survey,Sex combined,45,0,0
2007,LL survey,Sex combined,45,0,0
2008,LL survey,Sex combined,45,0,0
2009,LL survey,Sex combined,45,0,0
2010,LL survey,Sex combined,45,4,0.0065
2011,LL survey,Sex combined,45,0,0
2012,LL survey,Sex combined,45,2,0.0027
2013,LL survey,Sex combined,45,0,0
2014,LL survey,Sex combined,45,1,0.0017
2015,LL survey,Sex combined,45,1,0.002
2016,LL survey,Sex combined,45,2,0.0035
2017,LL survey,Sex combined,45,9,0.0147
2018,LL survey,Sex combined,45,7,0.0119
1997,LL survey,Sex combined,45,1,0.0017
1998,LL survey,Sex combined,45,0,0
1999,LL survey,Sex combined,45,2,0.0058
2000,LL survey,Sex combined,45,3,0.0071
2001,LL survey,Sex combined,45,2,0.0027
2002,Pot survey,Sex combined,45,4,0.0077
2006,Pot survey,Sex combined,45,0,0
2007,Pot survey,Sex combined,45,1,0.0015
2008,Pot survey,Sex combined,45,1,0.0019
2009,Pot survey,Sex combined,45,0,0
2002,LL fishery,Female,47,0,0
2003,LL fishery,Female,47,0,0
2004,LL fishery,Female,47,0,0
2005,LL fishery,Female,47,0,0
2006,LL fishery,Female,47,0,0
2007,LL fishery,Female,47,0,0
2008,LL fishery,Female,47,0,0
2009,LL fishery,Female,47,0,0
2010,LL fishery,Female,47,0,0
2011,LL fishery,Female,47,0,0
2012,LL fishery,Female,47,0,0
2013,LL fishery,Female,47,0,0
2014,LL fishery,Female,47,0,0
2015,LL fishery,Female,47,1,0.0013
2016,LL fishery,Female,47,1,0.0011
2017,LL fishery,Female,47,1,0.0012
2018,LL fishery,Female,47,0,0
2002,LL survey,Female,47,2,0.0065
2003,LL survey,Female,47,2,0.005
2004,LL survey,Female,47,0,0
2005,LL survey,Female,47,1,0.0019
2006,LL survey,Female,47,0,0
2007,LL survey,Female,47,0,0
2008,LL survey,Female,47,0,0
2009,LL survey,Female,47,2,0.0055
2010,LL survey,Female,47,0,0
2011,LL survey,Female,47,0,0
2012,LL survey,Female,47,1,0.0024
2013,LL survey,Female,47,0,0
2014,LL survey,Female,47,0,0
2015,LL survey,Female,47,1,0.0034
2016,LL survey,Female,47,4,0.0125
2017,LL survey,Female,47,10,0.0285
2018,LL survey,Female,47,5,0.0139
1997,LL survey,Female,47,1,0.0035
1998,LL survey,Female,47,0,0
1999,LL survey,Female,47,4,0.0256
2000,LL survey,Female,47,3,0.0133
2001,LL survey,Female,47,3,0.0086
2002,Pot survey,Female,47,5,0.0175
2006,Pot survey,Female,47,1,0.0036
2007,Pot survey,Female,47,2,0.0052
2008,Pot survey,Female,47,0,0
2009,Pot survey,Female,47,0,0
2002,LL fishery,Male,47,1,0.001
2003,LL fishery,Male,47,0,0
2004,LL fishery,Male,47,0,0
2005,LL fishery,Male,47,0,0
2006,LL fishery,Male,47,0,0
2007,LL fishery,Male,47,0,0
2008,LL fishery,Male,47,0,0
2009,LL fishery,Male,47,0,0
2010,LL fishery,Male,47,0,0
2011,LL fishery,Male,47,0,0
2012,LL fishery,Male,47,0,0
2013,LL fishery,Male,47,0,0
2014,LL fishery,Male,47,0,0
2015,LL fishery,Male,47,0,0
2016,LL fishery,Male,47,0,0
2017,LL fishery,Male,47,3,0.005
2018,LL fishery,Male,47,0,0
2002,LL survey,Male,47,2,0.0055
2003,LL survey,Male,47,2,0.0049
2004,LL survey,Male,47,0,0
2005,LL survey,Male,47,0,0
2006,LL survey,Male,47,0,0
2007,LL survey,Male,47,0,0
2008,LL survey,Male,47,0,0
2009,LL survey,Male,47,0,0
2010,LL survey,Male,47,4,0.0139
2011,LL survey,Male,47,2,0.0064
2012,LL survey,Male,47,2,0.0062
2013,LL survey,Male,47,0,0
2014,LL survey,Male,47,0,0
2015,LL survey,Male,47,1,0.0048
2016,LL survey,Male,47,3,0.0123
2017,LL survey,Male,47,2,0.0076
2018,LL survey,Male,47,3,0.013
1997,LL survey,Male,47,0,0
1998,LL survey,Male,47,2,0.0122
1999,LL survey,Male,47,8,0.0428
2000,LL survey,Male,47,5,0.0253
2001,LL survey,Male,47,1,0.0025
2002,Pot survey,Male,47,3,0.0128
2006,Pot survey,Male,47,1,0.0041
2007,Pot survey,Male,47,1,0.0035
2008,Pot survey,Male,47,0,0
2009,Pot survey,Male,47,3,0.0115
2002,LL fishery,Sex combined,47,1,4e-4
2003,LL fishery,Sex combined,47,0,0
2004,LL fishery,Sex combined,47,0,0
2005,LL fishery,Sex combined,47,0,0
2006,LL fishery,Sex combined,47,0,0
2007,LL fishery,Sex combined,47,0,0
2008,LL fishery,Sex combined,47,0,0
2009,LL fishery,Sex combined,47,0,0
2010,LL fishery,Sex combined,47,0,0
2011,LL fishery,Sex combined,47,0,0
2012,LL fishery,Sex combined,47,0,0
2013,LL fishery,Sex combined,47,0,0
2014,LL fishery,Sex combined,47,0,0
2015,LL fishery,Sex combined,47,1,8e-4
2016,LL fishery,Sex combined,47,1,7e-4
2017,LL fishery,Sex combined,47,4,0.0028
2018,LL fishery,Sex combined,47,0,0
2002,LL survey,Sex combined,47,4,0.006
2003,LL survey,Sex combined,47,4,0.0049
2004,LL survey,Sex combined,47,0,0
2005,LL survey,Sex combined,47,1,0.0011
2006,LL survey,Sex combined,47,0,0
2007,LL survey,Sex combined,47,0,0
2008,LL survey,Sex combined,47,0,0
2009,LL survey,Sex combined,47,2,0.0032
2010,LL survey,Sex combined,47,4,0.0065
2011,LL survey,Sex combined,47,2,0.0029
2012,LL survey,Sex combined,47,3,0.0041
2013,LL survey,Sex combined,47,0,0
2014,LL survey,Sex combined,47,0,0
2015,LL survey,Sex combined,47,2,0.004
2016,LL survey,Sex combined,47,7,0.0124
2017,LL survey,Sex combined,47,12,0.0196
2018,LL survey,Sex combined,47,8,0.0136
1997,LL survey,Sex combined,47,1,0.0017
1998,LL survey,Sex combined,47,2,0.0054
1999,LL survey,Sex combined,47,12,0.035
2000,LL survey,Sex combined,47,8,0.0189
2001,LL survey,Sex combined,47,4,0.0054
2002,Pot survey,Sex combined,47,8,0.0154
2006,Pot survey,Sex combined,47,2,0.0038
2007,Pot survey,Sex combined,47,3,0.0045
2008,Pot survey,Sex combined,47,0,0
2009,Pot survey,Sex combined,47,3,0.0043
2002,LL fishery,Female,49,1,8e-4
2003,LL fishery,Female,49,1,0.001
2004,LL fishery,Female,49,0,0
2005,LL fishery,Female,49,0,0
2006,LL fishery,Female,49,0,0
2007,LL fishery,Female,49,0,0
2008,LL fishery,Female,49,0,0
2009,LL fishery,Female,49,0,0
2010,LL fishery,Female,49,0,0
2011,LL fishery,Female,49,0,0
2012,LL fishery,Female,49,0,0
2013,LL fishery,Female,49,0,0
2014,LL fishery,Female,49,1,0.0013
2015,LL fishery,Female,49,0,0
2016,LL fishery,Female,49,0,0
2017,LL fishery,Female,49,2,0.0024
2018,LL fishery,Female,49,0,0
2002,LL survey,Female,49,3,0.0097
2003,LL survey,Female,49,2,0.005
2004,LL survey,Female,49,2,0.0049
2005,LL survey,Female,49,0,0
2006,LL survey,Female,49,0,0
2007,LL survey,Female,49,2,0.0045
2008,LL survey,Female,49,1,0.0028
2009,LL survey,Female,49,0,0
2010,LL survey,Female,49,3,0.0093
2011,LL survey,Female,49,3,0.0081
2012,LL survey,Female,49,0,0
2013,LL survey,Female,49,2,0.0077
2014,LL survey,Female,49,0,0
2015,LL survey,Female,49,2,0.0068
2016,LL survey,Female,49,12,0.0375
2017,LL survey,Female,49,5,0.0142
2018,LL survey,Female,49,10,0.0278
1997,LL survey,Female,49,1,0.0035
1998,LL survey,Female,49,0,0
1999,LL survey,Female,49,6,0.0385
2000,LL survey,Female,49,5,0.0221
2001,LL survey,Female,49,7,0.0201
2002,Pot survey,Female,49,11,0.0386
2006,Pot survey,Female,49,6,0.0214
2007,Pot survey,Female,49,6,0.0156
2008,Pot survey,Female,49,0,0
2009,Pot survey,Female,49,0,0
2002,LL fishery,Male,49,4,0.0039
2003,LL fishery,Male,49,0,0
2004,LL fishery,Male,49,2,0.0026
2005,LL fishery,Male,49,0,0
2006,LL fishery,Male,49,0,0
2007,LL fishery,Male,49,0,0
2008,LL fishery,Male,49,0,0
2009,LL fishery,Male,49,0,0
2010,LL fishery,Male,49,1,0.0018
2011,LL fishery,Male,49,0,0
2012,LL fishery,Male,49,0,0
2013,LL fishery,Male,49,1,0.0015
2014,LL fishery,Male,49,0,0
2015,LL fishery,Male,49,0,0
2016,LL fishery,Male,49,0,0
2017,LL fishery,Male,49,1,0.0017
2018,LL fishery,Male,49,0,0
2002,LL survey,Male,49,3,0.0083
2003,LL survey,Male,49,10,0.0243
2004,LL survey,Male,49,2,0.0054
2005,LL survey,Male,49,0,0
2006,LL survey,Male,49,2,0.0062
2007,LL survey,Male,49,5,0.0146
2008,LL survey,Male,49,1,0.0036
2009,LL survey,Male,49,1,0.0039
2010,LL survey,Male,49,3,0.0104
2011,LL survey,Male,49,3,0.0096
2012,LL survey,Male,49,2,0.0062
2013,LL survey,Male,49,1,0.0034
2014,LL survey,Male,49,0,0
2015,LL survey,Male,49,5,0.0242
2016,LL survey,Male,49,9,0.0369
2017,LL survey,Male,49,5,0.0191
2018,LL survey,Male,49,5,0.0217
1997,LL survey,Male,49,2,0.0067
1998,LL survey,Male,49,4,0.0244
1999,LL survey,Male,49,7,0.0374
2000,LL survey,Male,49,10,0.0505
2001,LL survey,Male,49,11,0.0277
2002,Pot survey,Male,49,8,0.0342
2006,Pot survey,Male,49,3,0.0124
2007,Pot survey,Male,49,4,0.0141
2008,Pot survey,Male,49,3,0.0142
2009,Pot survey,Male,49,2,0.0076
2002,LL fishery,Sex combined,49,5,0.0022
2003,LL fishery,Sex combined,49,1,6e-4
2004,LL fishery,Sex combined,49,2,8e-4
2005,LL fishery,Sex combined,49,0,0
2006,LL fishery,Sex combined,49,0,0
2007,LL fishery,Sex combined,49,0,0
2008,LL fishery,Sex combined,49,0,0
2009,LL fishery,Sex combined,49,0,0
2010,LL fishery,Sex combined,49,1,6e-4
2011,LL fishery,Sex combined,49,0,0
2012,LL fishery,Sex combined,49,0,0
2013,LL fishery,Sex combined,49,1,7e-4
2014,LL fishery,Sex combined,49,1,7e-4
2015,LL fishery,Sex combined,49,0,0
2016,LL fishery,Sex combined,49,0,0
2017,LL fishery,Sex combined,49,3,0.0021
2018,LL fishery,Sex combined,49,0,0
2002,LL survey,Sex combined,49,6,0.0089
2003,LL survey,Sex combined,49,12,0.0148
2004,LL survey,Sex combined,49,4,0.0051
2005,LL survey,Sex combined,49,0,0
2006,LL survey,Sex combined,49,2,0.0027
2007,LL survey,Sex combined,49,7,0.0089
2008,LL survey,Sex combined,49,2,0.0031
2009,LL survey,Sex combined,49,1,0.0016
2010,LL survey,Sex combined,49,6,0.0098
2011,LL survey,Sex combined,49,6,0.0088
2012,LL survey,Sex combined,49,2,0.0027
2013,LL survey,Sex combined,49,3,0.0054
2014,LL survey,Sex combined,49,0,0
2015,LL survey,Sex combined,49,7,0.0139
2016,LL survey,Sex combined,49,21,0.0372
2017,LL survey,Sex combined,49,10,0.0163
2018,LL survey,Sex combined,49,15,0.0254
1997,LL survey,Sex combined,49,3,0.0052
1998,LL survey,Sex combined,49,4,0.0109
1999,LL survey,Sex combined,49,13,0.0379
2000,LL survey,Sex combined,49,15,0.0354
2001,LL survey,Sex combined,49,18,0.0242
2002,Pot survey,Sex combined,49,19,0.0366
2006,Pot survey,Sex combined,49,9,0.0172
2007,Pot survey,Sex combined,49,10,0.015
2008,Pot survey,Sex combined,49,3,0.0056
2009,Pot survey,Sex combined,49,2,0.0029
2002,LL fishery,Female,51,7,0.0055
2003,LL fishery,Female,51,4,0.0039
2004,LL fishery,Female,51,6,0.0038
2005,LL fishery,Female,51,1,8e-4
2006,LL fishery,Female,51,1,9e-4
2007,LL fishery,Female,51,2,0.002
2008,LL fishery,Female,51,0,0
2009,LL fishery,Female,51,2,0.0019
2010,LL fishery,Female,51,1,0.001
2011,LL fishery,Female,51,1,0.0011
2012,LL fishery,Female,51,0,0
2013,LL fishery,Female,51,1,0.0014
2014,LL fishery,Female,51,1,0.0013
2015,LL fishery,Female,51,2,0.0026
2016,LL fishery,Female,51,0,0
2017,LL fishery,Female,51,5,0.006
2018,LL fishery,Female,51,4,0.0049
2002,LL survey,Female,51,2,0.0065
2003,LL survey,Female,51,19,0.0477
2004,LL survey,Female,51,12,0.0291
2005,LL survey,Female,51,0,0
2006,LL survey,Female,51,3,0.007
2007,LL survey,Female,51,3,0.0068
2008,LL survey,Female,51,2,0.0056
2009,LL survey,Female,51,3,0.0082
2010,LL survey,Female,51,3,0.0093
2011,LL survey,Female,51,9,0.0244
2012,LL survey,Female,51,5,0.012
2013,LL survey,Female,51,3,0.0115
2014,LL survey,Female,51,2,0.0068
2015,LL survey,Female,51,6,0.0203
2016,LL survey,Female,51,10,0.0312
2017,LL survey,Female,51,9,0.0256
2018,LL survey,Female,51,11,0.0306
1997,LL survey,Female,51,0,0
1998,LL survey,Female,51,4,0.0197
1999,LL survey,Female,51,4,0.0256
2000,LL survey,Female,51,14,0.0619
2001,LL survey,Female,51,18,0.0517
2002,Pot survey,Female,51,14,0.0491
2006,Pot survey,Female,51,5,0.0178
2007,Pot survey,Female,51,6,0.0156
2008,Pot survey,Female,51,5,0.0155
2009,Pot survey,Female,51,2,0.0046
2002,LL fishery,Male,51,10,0.0096
2003,LL fishery,Male,51,9,0.0116
2004,LL fishery,Male,51,2,0.0026
2005,LL fishery,Male,51,1,0.002
2006,LL fishery,Male,51,0,0
2007,LL fishery,Male,51,0,0
2008,LL fishery,Male,51,0,0
2009,LL fishery,Male,51,0,0
2010,LL fishery,Male,51,0,0
2011,LL fishery,Male,51,0,0
2012,LL fishery,Male,51,0,0
2013,LL fishery,Male,51,3,0.0044
2014,LL fishery,Male,51,0,0
