Source,Sex,year,mean,min,max,variable
LL fishery,Male,2004,64.49489795918367,49,85,Fork length
LL fishery,Male,2005,65.37278106508876,51,92,Fork length
LL fishery,Male,2006,65.19344262295083,52,87,Fork length
LL fishery,Male,2007,65.64271844660195,53,83,Fork length
LL fishery,Male,2008,65.69904761904762,55,88,Fork length
LL fishery,Male,2009,66.13051823416507,56,81,Fork length
LL fishery,Male,2010,65.91454545454546,48,87,Fork length
LL fishery,Male,2011,66.09272727272727,52,88,Fork length
LL fishery,Male,2012,65.62842975206611,53,90,Fork length
LL fishery,Male,2013,64.87134502923976,49,86,Fork length
LL fishery,Male,2014,66.32653778558876,52,94,Fork length
LL fishery,Male,2015,66.64823008849558,50,94,Fork length
LL fishery,Male,2016,65.84423076923076,43,85,Fork length
LL fishery,Male,2017,65.65339966832504,46,81,Fork length
LL fishery,Male,2018,65.69762845849803,50,84,Fork length
LL survey,Female,1997,73.27394366197183,40,102,Fork length
LL survey,Female,1998,72.10837438423646,43,98,Fork length
LL survey,Female,1999,67.0673076923077,44,103,Fork length
LL survey,Female,2e3,67.52654867256638,45,111,Fork length
LL survey,Female,2001,66.57758620689656,47,103,Fork length
LL survey,Female,2002,69.20779220779221,46,109,Fork length
LL survey,Female,2003,68.31155778894473,47,103,Fork length
LL survey,Female,2004,68.47572815533981,48,108,Fork length
LL survey,Female,2005,72.0990291262136,46,111,Fork length
LL survey,Female,2006,70.49302325581395,50,100,Fork length
LL survey,Female,2007,69.7687074829932,48,106,Fork length
LL survey,Female,2008,71.33333333333333,49,107,Fork length
LL survey,Female,2009,71.39617486338798,46,100,Fork length
LL survey,Female,2010,71.89473684210526,44,98,Fork length
LL survey,Female,2011,68.91869918699187,48,95,Fork length
LL survey,Female,2012,68.01927710843374,41,99,Fork length
LL survey,Female,2013,68.91570881226053,49,98,Fork length
LL survey,Female,2014,69.92808219178082,50,104,Fork length
LL survey,Female,2015,69.2813559322034,46,96,Fork length
LL survey,Female,2016,67.46875,46,109,Fork length
LL survey,Female,2017,66.3019943019943,42,98,Fork length
LL survey,Female,2018,65.00555555555556,43,107,Fork length
LL survey,Male,1997,65.96632996632997,43,81,Fork length
LL survey,Male,1998,64.65853658536585,46,92,Fork length
LL survey,Male,1999,62.026737967914436,44,95,Fork length
LL survey,Male,2e3,61.955555555555556,45,80,Fork length
LL survey,Male,2001,62.45465994962217,44,80,Fork length
LL survey,Male,2002,63.019283746556475,44,83,Fork length
LL survey,Male,2003,62.30582524271845,45,80,Fork length
LL survey,Male,2004,62.3133514986376,49,78,Fork length
LL survey,Male,2005,63.916666666666664,52,88,Fork length
LL survey,Male,2006,64.13354037267081,48,90,Fork length
LL survey,Male,2007,63.03216374269006,48,84,Fork length
LL survey,Male,2008,63.99644128113879,48,80,Fork length
LL survey,Male,2009,64.87007874015748,49,80,Fork length
LL survey,Male,2010,64.14236111111111,46,77,Fork length
LL survey,Male,2011,63.50798722044728,47,78,Fork length
LL survey,Male,2012,62.7962962962963,44,78,Fork length
LL survey,Male,2013,63.082191780821915,49,80,Fork length
LL survey,Male,2014,63.65371024734982,45,84,Fork length
LL survey,Male,2015,62.84541062801932,45,80,Fork length
LL survey,Male,2016,62.46680327868852,43,82,Fork length
LL survey,Male,2017,61.18702290076336,44,83,Fork length
LL survey,Male,2018,61.791304347826085,44,79,Fork length
