year,Source,Sex,age,weight
2013,LL fishery,Male,3,2.3
2014,LL fishery,Male,3,2
2015,LL fishery,Male,3,2.1
2016,LL fishery,Male,3,2
2017,LL fishery,Male,3,2
2005,LL survey,Female,4,2.2
2006,LL survey,Female,4,3.6
2007,LL survey,Female,4,2.1
2008,LL survey,Female,4,1.9
2009,LL survey,Female,4,2.4
2010,LL survey,Female,4,1.6
2011,LL survey,Female,4,1.4
2012,LL survey,Female,4,2.2
2013,LL survey,Female,4,1.9
2014,LL survey,Female,4,1.4
2015,LL survey,Female,4,1.7
2016,LL survey,Female,4,2
2017,LL survey,Female,4,1.8
2005,LL fishery,Female,4,2.8
2006,LL fishery,Female,4,3.2
2007,LL fishery,Female,4,2.2
2008,LL fishery,Female,4,3.5
2009,LL fishery,Female,4,2.7
2010,LL fishery,Female,4,2.2
2011,LL fishery,Female,4,2
2012,LL fishery,Female,4,2.5
2013,LL fishery,Female,4,2.5
2014,LL fishery,Female,4,2.5
2015,LL fishery,Female,4,2.1
2016,LL fishery,Female,4,2.5
2017,LL fishery,Female,4,2.2
2005,LL survey,Male,4,2.2
2006,LL survey,Male,4,1.4
2007,LL survey,Male,4,1.7
2008,LL survey,Male,4,1.8
2009,LL survey,Male,4,1.5
2010,LL survey,Male,4,1.25
2011,LL survey,Male,4,1.6
2012,LL survey,Male,4,1.8
2013,LL survey,Male,4,1.7
2014,LL survey,Male,4,1.8
2015,LL survey,Male,4,1.7
2016,LL survey,Male,4,1.7
2017,LL survey,Male,4,1.7
2005,LL fishery,Male,4,2.7
2006,LL fishery,Male,4,3
2007,LL fishery,Male,4,2.1
2008,LL fishery,Male,4,2.8
2009,LL fishery,Male,4,2.4
2010,LL fishery,Male,4,2.5
2011,LL fishery,Male,4,2.2
2012,LL fishery,Male,4,2.5
2013,LL fishery,Male,4,2.3
2014,LL fishery,Male,4,2
2015,LL fishery,Male,4,2.1
2016,LL fishery,Male,4,2.1
2017,LL fishery,Male,4,2
2005,LL survey,Female,5,3.1
2006,LL survey,Female,5,1.5
2007,LL survey,Female,5,2.9
2008,LL survey,Female,5,2.8
2009,LL survey,Female,5,3
2010,LL survey,Female,5,2.1
2011,LL survey,Female,5,2
2012,LL survey,Female,5,2.3
2013,LL survey,Female,5,2.4
2014,LL survey,Female,5,2.6
2015,LL survey,Female,5,2.2
2016,LL survey,Female,5,2.6
2017,LL survey,Female,5,2.2
2005,LL fishery,Female,5,3.4
2006,LL fishery,Female,5,3.2
2007,LL fishery,Female,5,3.1
2008,LL fishery,Female,5,3
2009,LL fishery,Female,5,2.7
2010,LL fishery,Female,5,3.1
2011,LL fishery,Female,5,2.5
2012,LL fishery,Female,5,3.1
2013,LL fishery,Female,5,2.9
2014,LL fishery,Female,5,2.8
2015,LL fishery,Female,5,2.9
2016,LL fishery,Female,5,3
2017,LL fishery,Female,5,2.5
2005,LL survey,Male,5,2.4
2006,LL survey,Male,5,1.8
2007,LL survey,Male,5,2.1
2008,LL survey,Male,5,2.5
2009,LL survey,Male,5,2.2
2010,LL survey,Male,5,1.3
2011,LL survey,Male,5,1.8
2012,LL survey,Male,5,2
2013,LL survey,Male,5,1.9
2014,LL survey,Male,5,2
2015,LL survey,Male,5,2.2
2016,LL survey,Male,5,2.1
2017,LL survey,Male,5,2
2005,LL fishery,Male,5,2.8
2006,LL fishery,Male,5,2.9
2007,LL fishery,Male,5,2.8
2008,LL fishery,Male,5,2.6
2009,LL fishery,Male,5,2.3
2010,LL fishery,Male,5,2.4
2011,LL fishery,Male,5,2.3
2012,LL fishery,Male,5,2.5
2013,LL fishery,Male,5,2
2014,LL fishery,Male,5,2.9
2015,LL fishery,Male,5,2.4
2016,LL fishery,Male,5,2.6
2017,LL fishery,Male,5,2.1
2005,LL survey,Female,6,3.1
2006,LL survey,Female,6,2.5
2007,LL survey,Female,6,2.9
2008,LL survey,Female,6,3.1
2009,LL survey,Female,6,3.2
2010,LL survey,Female,6,2.6
2011,LL survey,Female,6,2.3
2012,LL survey,Female,6,2.5
2013,LL survey,Female,6,2.4
2014,LL survey,Female,6,2.8
2015,LL survey,Female,6,3
2016,LL survey,Female,6,3.1
2017,LL survey,Female,6,2.7
2005,LL fishery,Female,6,3.6
2006,LL fishery,Female,6,3.6
2007,LL fishery,Female,6,3.1
2008,LL fishery,Female,6,3.3
2009,LL fishery,Female,6,3.5
2010,LL fishery,Female,6,3.1
2011,LL fishery,Female,6,2.9
2012,LL fishery,Female,6,3.2
2013,LL fishery,Female,6,2.6
2014,LL fishery,Female,6,3.3
2015,LL fishery,Female,6,3.3
2016,LL fishery,Female,6,3.4
2017,LL fishery,Female,6,2.8
2005,LL survey,Male,6,2.2
2006,LL survey,Male,6,2.2
2007,LL survey,Male,6,2.6
2008,LL survey,Male,6,2.3
2009,LL survey,Male,6,2.6
2010,LL survey,Male,6,2.1
2011,LL survey,Male,6,2.3
2012,LL survey,Male,6,2.3
2013,LL survey,Male,6,2
2014,LL survey,Male,6,2.3
2015,LL survey,Male,6,2.5
2016,LL survey,Male,6,2.5
2017,LL survey,Male,6,2.1
2005,LL fishery,Male,6,2.8
2006,LL fishery,Male,6,2.9
2007,LL fishery,Male,6,2.6
2008,LL fishery,Male,6,2.7
2009,LL fishery,Male,6,2.6
2010,LL fishery,Male,6,2.6
2011,LL fishery,Male,6,2.6
2012,LL fishery,Male,6,2.4
2013,LL fishery,Male,6,2.2
2014,LL fishery,Male,6,2.7
2015,LL fishery,Male,6,2.6
2016,LL fishery,Male,6,2.6
2017,LL fishery,Male,6,2.6
2005,LL survey,Female,7,3.3
2006,LL survey,Female,7,3
2007,LL survey,Female,7,3.4
2008,LL survey,Female,7,3.1
2009,LL survey,Female,7,3.3
2010,LL survey,Female,7,3.1
2011,LL survey,Female,7,2.9
2012,LL survey,Female,7,3.1
2013,LL survey,Female,7,2.5
2014,LL survey,Female,7,2.9
2015,LL survey,Female,7,3.1
2016,LL survey,Female,7,3.3
2017,LL survey,Female,7,3.3
2005,LL fishery,Female,7,3.7
2006,LL fishery,Female,7,3.7
2007,LL fishery,Female,7,3.6
2008,LL fishery,Female,7,3.5
2009,LL fishery,Female,7,3.2
2010,LL fishery,Female,7,3.2
2011,LL fishery,Female,7,3.4
2012,LL fishery,Female,7,3.5
2013,LL fishery,Female,7,2.9
2014,LL fishery,Female,7,3.2
2015,LL fishery,Female,7,3.3
2016,LL fishery,Female,7,3.5
2017,LL fishery,Female,7,3.4
2005,LL survey,Male,7,2.4
2006,LL survey,Male,7,2.5
2007,LL survey,Male,7,2.8
2008,LL survey,Male,7,2.4
2009,LL survey,Male,7,2.6
2010,LL survey,Male,7,2.3
2011,LL survey,Male,7,2.4
2012,LL survey,Male,7,2.5
2013,LL survey,Male,7,2.2
2014,LL survey,Male,7,2.4
2015,LL survey,Male,7,2.7
2016,LL survey,Male,7,2.6
2017,LL survey,Male,7,2.5
2005,LL fishery,Male,7,2.9
2006,LL fishery,Male,7,2.8
2007,LL fishery,Male,7,2.8
2008,LL fishery,Male,7,2.9
2009,LL fishery,Male,7,2.5
2010,LL fishery,Male,7,2.7
2011,LL fishery,Male,7,2.7
2012,LL fishery,Male,7,2.7
2013,LL fishery,Male,7,2.4
2014,LL fishery,Male,7,2.7
2015,LL fishery,Male,7,2.8
2016,LL fishery,Male,7,3
2017,LL fishery,Male,7,2.7
2005,LL survey,Female,8,3.3
2006,LL survey,Female,8,3.4
2007,LL survey,Female,8,3.5
2008,LL survey,Female,8,3.3
2009,LL survey,Female,8,3.3
2010,LL survey,Female,8,3.2
2011,LL survey,Female,8,3.3
2012,LL survey,Female,8,3.4
2013,LL survey,Female,8,3
2014,LL survey,Female,8,2.9
2015,LL survey,Female,8,3.2
2016,LL survey,Female,8,3.6
2017,LL survey,Female,8,3.2
2005,LL fishery,Female,8,3.8
2006,LL fishery,Female,8,3.9
2007,LL fishery,Female,8,3.9
2008,LL fishery,Female,8,3.8
2009,LL fishery,Female,8,3.5
2010,LL fishery,Female,8,3.7
2011,LL fishery,Female,8,3.4
2012,LL fishery,Female,8,3.9
2013,LL fishery,Female,8,3.4
2014,LL fishery,Female,8,3.5
2015,LL fishery,Female,8,3.6
2016,LL fishery,Female,8,3.7
2017,LL fishery,Female,8,3.6
2005,LL survey,Male,8,2.6
2006,LL survey,Male,8,2.6
2007,LL survey,Male,8,2.6
2008,LL survey,Male,8,2.5
2009,LL survey,Male,8,2.7
2010,LL survey,Male,8,2.5
2011,LL survey,Male,8,2.2
2012,LL survey,Male,8,2.5
2013,LL survey,Male,8,2.2
2014,LL survey,Male,8,2.3
2015,LL survey,Male,8,2.7
2016,LL survey,Male,8,2.6
2017,LL survey,Male,8,2.6
2005,LL fishery,Male,8,2.9
2006,LL fishery,Male,8,2.9
2007,LL fishery,Male,8,3
2008,LL fishery,Male,8,2.8
2009,LL fishery,Male,8,2.7
2010,LL fishery,Male,8,2.9
2011,LL fishery,Male,8,2.7
2012,LL fishery,Male,8,2.7
2013,LL fishery,Male,8,2.5
2014,LL fishery,Male,8,2.7
2015,LL fishery,Male,8,2.8
2016,LL fishery,Male,8,3
2017,LL fishery,Male,8,2.6
2005,LL survey,Female,9,3.3
2006,LL survey,Female,9,3.5
2007,LL survey,Female,9,3.8
2008,LL survey,Female,9,3.6
2009,LL survey,Female,9,3.8
2010,LL survey,Female,9,3.1
2011,LL survey,Female,9,3.4
2012,LL survey,Female,9,3.4
2013,LL survey,Female,9,3.3
2014,LL survey,Female,9,3.3
2015,LL survey,Female,9,3.5
2016,LL survey,Female,9,3.8
2017,LL survey,Female,9,3.7
2005,LL fishery,Female,9,3.8
2006,LL fishery,Female,9,4
2007,LL fishery,Female,9,4
2008,LL fishery,Female,9,3.9
2009,LL fishery,Female,9,3.9
2010,LL fishery,Female,9,3.7
2011,LL fishery,Female,9,3.6
2012,LL fishery,Female,9,3.6
2013,LL fishery,Female,9,3.5
2014,LL fishery,Female,9,4
2015,LL fishery,Female,9,3.6
2016,LL fishery,Female,9,3.8
2017,LL fishery,Female,9,3.9
2005,LL survey,Male,9,2.7
2006,LL survey,Male,9,2.8
2007,LL survey,Male,9,2.7
2008,LL survey,Male,9,3
2009,LL survey,Male,9,2.8
2010,LL survey,Male,9,2.8
2011,LL survey,Male,9,2.6
2012,LL survey,Male,9,2.7
2013,LL survey,Male,9,2.5
2014,LL survey,Male,9,2.4
2015,LL survey,Male,9,2.6
2016,LL survey,Male,9,2.6
2017,LL survey,Male,9,2.9
2005,LL fishery,Male,9,3
2006,LL fishery,Male,9,3.1
2007,LL fishery,Male,9,3.2
2008,LL fishery,Male,9,3
2009,LL fishery,Male,9,2.8
2010,LL fishery,Male,9,2.7
2011,LL fishery,Male,9,3.1
2012,LL fishery,Male,9,3
2013,LL fishery,Male,9,2.5
2014,LL fishery,Male,9,2.7
2015,LL fishery,Male,9,2.9
2016,LL fishery,Male,9,3.1
2017,LL fishery,Male,9,3
2005,LL survey,Female,10,3.6
2006,LL survey,Female,10,3.9
2007,LL survey,Female,10,3.9
2008,LL survey,Female,10,3.9
2009,LL survey,Female,10,3.9
2010,LL survey,Female,10,3.6
2011,LL survey,Female,10,3.5
2012,LL survey,Female,10,3.7
2013,LL survey,Female,10,3.5
2014,LL survey,Female,10,3.5
2015,LL survey,Female,10,3.5
2016,LL survey,Female,10,3.7
2017,LL survey,Female,10,3.8
2005,LL fishery,Female,10,4.1
2006,LL fishery,Female,10,4
2007,LL fishery,Female,10,4
2008,LL fishery,Female,10,4
2009,LL fishery,Female,10,3.8
2010,LL fishery,Female,10,4
2011,LL fishery,Female,10,3.7
2012,LL fishery,Female,10,3.9
2013,LL fishery,Female,10,4
2014,LL fishery,Female,10,3.6
2015,LL fishery,Female,10,4.2
2016,LL fishery,Female,10,4.3
2017,LL fishery,Female,10,3.8
2005,LL survey,Male,10,2.9
2006,LL survey,Male,10,2.6
2007,LL survey,Male,10,2.8
2008,LL survey,Male,10,2.9
2009,LL survey,Male,10,2.7
2010,LL survey,Male,10,2.6
2011,LL survey,Male,10,2.8
2012,LL survey,Male,10,3.1
2013,LL survey,Male,10,2.7
2014,LL survey,Male,10,2.4
2015,LL survey,Male,10,2.7
2016,LL survey,Male,10,2.8
2017,LL survey,Male,10,2.6
2005,LL fishery,Male,10,3.2
2006,LL fishery,Male,10,2.8
2007,LL fishery,Male,10,3.1
2008,LL fishery,Male,10,3.1
2009,LL fishery,Male,10,2.9
2010,LL fishery,Male,10,3
2011,LL fishery,Male,10,2.8
2012,LL fishery,Male,10,3.1
2013,LL fishery,Male,10,2.6
2014,LL fishery,Male,10,3
2015,LL fishery,Male,10,3.3
2016,LL fishery,Male,10,2.8
2017,LL fishery,Male,10,2.9
2005,LL survey,Female,11,3.7
2006,LL survey,Female,11,3.6
2007,LL survey,Female,11,3.7
2008,LL survey,Female,11,4
2009,LL survey,Female,11,3.9
2010,LL survey,Female,11,3.6
2011,LL survey,Female,11,3.8
2012,LL survey,Female,11,3.3
2013,LL survey,Female,11,3.7
2014,LL survey,Female,11,3.8
2015,LL survey,Female,11,4.4
2016,LL survey,Female,11,3.6
2017,LL survey,Female,11,3.6
2005,LL fishery,Female,11,4.2
2006,LL fishery,Female,11,4.1
2007,LL fishery,Female,11,4
2008,LL fishery,Female,11,4.1
2009,LL fishery,Female,11,3.9
2010,LL fishery,Female,11,4
2011,LL fishery,Female,11,3.9
2012,LL fishery,Female,11,4.1
2013,LL fishery,Female,11,4.1
2014,LL fishery,Female,11,4
2015,LL fishery,Female,11,4.2
2016,LL fishery,Female,11,4.3
2017,LL fishery,Female,11,4.2
2005,LL survey,Male,11,2.8
2006,LL survey,Male,11,2.8
2007,LL survey,Male,11,2.7
2008,LL survey,Male,11,2.8
2009,LL survey,Male,11,2.9
2010,LL survey,Male,11,2.9
2011,LL survey,Male,11,2.8
2012,LL survey,Male,11,2.9
2013,LL survey,Male,11,2.7
2014,LL survey,Male,11,2.6
2015,LL survey,Male,11,3
2016,LL survey,Male,11,2.7
2017,LL survey,Male,11,3.1
2005,LL fishery,Male,11,3.1
2006,LL fishery,Male,11,3.1
2007,LL fishery,Male,11,3.2
2008,LL fishery,Male,11,3
2009,LL fishery,Male,11,3
2010,LL fishery,Male,11,3.1
2011,LL fishery,Male,11,3
2012,LL fishery,Male,11,2.9
2013,LL fishery,Male,11,2.7
2014,LL fishery,Male,11,2.9
2015,LL fishery,Male,11,3
2016,LL fishery,Male,11,3.3
2017,LL fishery,Male,11,3.2
2005,LL survey,Female,12,3.7
2006,LL survey,Female,12,3.8
2007,LL survey,Female,12,3.9
2008,LL survey,Female,12,3.8
2009,LL survey,Female,12,3.8
2010,LL survey,Female,12,4
2011,LL survey,Female,12,3.7
2012,LL survey,Female,12,4
2013,LL survey,Female,12,3.3
2014,LL survey,Female,12,3.8
2015,LL survey,Female,12,4.2
2016,LL survey,Female,12,4.3
2017,LL survey,Female,12,3.9
2005,LL fishery,Female,12,4.1
2006,LL fishery,Female,12,4
2007,LL fishery,Female,12,4.3
2008,LL fishery,Female,12,4.2
2009,LL fishery,Female,12,4.1
2010,LL fishery,Female,12,4.2
2011,LL fishery,Female,12,4.1
2012,LL fishery,Female,12,4.1
2013,LL fishery,Female,12,4.1
2014,LL fishery,Female,12,4.7
2015,LL fishery,Female,12,4.5
2016,LL fishery,Female,12,4.7
2017,LL fishery,Female,12,4.6
2005,LL survey,Male,12,2.8
2006,LL survey,Male,12,3.2
2007,LL survey,Male,12,3
2008,LL survey,Male,12,2.9
2009,LL survey,Male,12,3.1
2010,LL survey,Male,12,2.9
2011,LL survey,Male,12,3
2012,LL survey,Male,12,2.7
2013,LL survey,Male,12,2.6
2014,LL survey,Male,12,2.8
2015,LL survey,Male,12,3.2
2016,LL survey,Male,12,3
2017,LL survey,Male,12,2.9
2005,LL fishery,Male,12,3.3
2006,LL fishery,Male,12,3
2007,LL fishery,Male,12,2.9
2008,LL fishery,Male,12,3.2
2009,LL fishery,Male,12,3
2010,LL fishery,Male,12,3.1
2011,LL fishery,Male,12,3.2
2012,LL fishery,Male,12,3
2013,LL fishery,Male,12,2.8
2014,LL fishery,Male,12,3.2
2015,LL fishery,Male,12,3.2
2016,LL fishery,Male,12,3
2017,LL fishery,Male,12,3.1
2005,LL survey,Female,13,4.2
2006,LL survey,Female,13,3.6
2007,LL survey,Female,13,3.9
2008,LL survey,Female,13,4
2009,LL survey,Female,13,4.1
2010,LL survey,Female,13,4
2011,LL survey,Female,13,4
2012,LL survey,Female,13,4.2
2013,LL survey,Female,13,3.8
2014,LL survey,Female,13,3.9
2015,LL survey,Female,13,4.3
2016,LL survey,Female,13,4.3
2017,LL survey,Female,13,3.8
2005,LL fishery,Female,13,4.1
2006,LL fishery,Female,13,4.3
2007,LL fishery,Female,13,4.1
2008,LL fishery,Female,13,4.2
2009,LL fishery,Female,13,4.3
2010,LL fishery,Female,13,4.1
2011,LL fishery,Female,13,4.3
2012,LL fishery,Female,13,4.5
2013,LL fishery,Female,13,4.2
2014,LL fishery,Female,13,4.6
2015,LL fishery,Female,13,4.6
2016,LL fishery,Female,13,4.6
2017,LL fishery,Female,13,4.9
2005,LL survey,Male,13,3.1
2006,LL survey,Male,13,2.8
2007,LL survey,Male,13,2.7
2008,LL survey,Male,13,2.8
2009,LL survey,Male,13,2.9
2010,LL survey,Male,13,2.8
2011,LL survey,Male,13,2.9
2012,LL survey,Male,13,2.8
2013,LL survey,Male,13,2.6
2014,LL survey,Male,13,2.8
2015,LL survey,Male,13,3
2016,LL survey,Male,13,2.8
2017,LL survey,Male,13,2.9
2005,LL fishery,Male,13,3.3
2006,LL fishery,Male,13,3.1
2007,LL fishery,Male,13,2.9
2008,LL fishery,Male,13,3.2
2009,LL fishery,Male,13,3
2010,LL fishery,Male,13,2.9
2011,LL fishery,Male,13,3.2
2012,LL fishery,Male,13,3
2013,LL fishery,Male,13,3
2014,LL fishery,Male,13,3.3
2015,LL fishery,Male,13,3.4
2016,LL fishery,Male,13,3.2
2017,LL fishery,Male,13,3.3
2005,LL survey,Female,14,4.1
2006,LL survey,Female,14,3.9
2007,LL survey,Female,14,4
2008,LL survey,Female,14,4.5
2009,LL survey,Female,14,3.9
2010,LL survey,Female,14,3.8
2011,LL survey,Female,14,4.3
2012,LL survey,Female,14,3.8
2013,LL survey,Female,14,4.4
2014,LL survey,Female,14,4.5
2015,LL survey,Female,14,4.2
2016,LL survey,Female,14,4.6
2017,LL survey,Female,14,5.1
2005,LL fishery,Female,14,4.2
2006,LL fishery,Female,14,4.1
2007,LL fishery,Female,14,4.5
2008,LL fishery,Female,14,4.7
2009,LL fishery,Female,14,4.3
2010,LL fishery,Female,14,4.3
2011,LL fishery,Female,14,4.4
2012,LL fishery,Female,14,4.6
2013,LL fishery,Female,14,4.2
2014,LL fishery,Female,14,4.6
2015,LL fishery,Female,14,4.4
2016,LL fishery,Female,14,5.4
2017,LL fishery,Female,14,5.1
2005,LL survey,Male,14,2.9
2006,LL survey,Male,14,3.2
2007,LL survey,Male,14,2.9
2008,LL survey,Male,14,3.3
2009,LL survey,Male,14,3
2010,LL survey,Male,14,2.7
2011,LL survey,Male,14,3.1
2012,LL survey,Male,14,2.9
2013,LL survey,Male,14,2.7
2014,LL survey,Male,14,2.8
2015,LL survey,Male,14,3.4
2016,LL survey,Male,14,3
2017,LL survey,Male,14,2.8
2005,LL fishery,Male,14,3
2006,LL fishery,Male,14,2.8
2007,LL fishery,Male,14,3.2
2008,LL fishery,Male,14,3.3
2009,LL fishery,Male,14,3.1
2010,LL fishery,Male,14,3
2011,LL fishery,Male,14,3.2
2012,LL fishery,Male,14,3
2013,LL fishery,Male,14,2.9
2014,LL fishery,Male,14,3.1
2015,LL fishery,Male,14,3.1
2016,LL fishery,Male,14,3.2
2017,LL fishery,Male,14,3.1
2005,LL survey,Female,15,3.7
2006,LL survey,Female,15,3.8
2007,LL survey,Female,15,4.4
2008,LL survey,Female,15,3.9
2009,LL survey,Female,15,4.2
2010,LL survey,Female,15,4
2011,LL survey,Female,15,4
2012,LL survey,Female,15,4.1
2013,LL survey,Female,15,4.4
2014,LL survey,Female,15,4.7
2015,LL survey,Female,15,4.3
2016,LL survey,Female,15,4.5
2017,LL survey,Female,15,3.8
2005,LL fishery,Female,15,5.1
2006,LL fishery,Female,15,4.7
2007,LL fishery,Female,15,4.7
2008,LL fishery,Female,15,4.2
2009,LL fishery,Female,15,4.3
2010,LL fishery,Female,15,4.3
2011,LL fishery,Female,15,4.4
2012,LL fishery,Female,15,4.8
2013,LL fishery,Female,15,4.9
2014,LL fishery,Female,15,5
2015,LL fishery,Female,15,5
2016,LL fishery,Female,15,5.3
2017,LL fishery,Female,15,4.8
2005,LL survey,Male,15,2.9
2006,LL survey,Male,15,2.9
2007,LL survey,Male,15,3.2
2008,LL survey,Male,15,3.1
2009,LL survey,Male,15,2.7
2010,LL survey,Male,15,2.8
2011,LL survey,Male,15,2.9
2012,LL survey,Male,15,2.7
2013,LL survey,Male,15,3
2014,LL survey,Male,15,2.8
2015,LL survey,Male,15,2.9
2016,LL survey,Male,15,3.2
2017,LL survey,Male,15,3
2005,LL fishery,Male,15,3.2
2006,LL fishery,Male,15,3.1
2007,LL fishery,Male,15,2.9
2008,LL fishery,Male,15,3.3
2009,LL fishery,Male,15,3.1
2010,LL fishery,Male,15,3.1
2011,LL fishery,Male,15,3.1
2012,LL fishery,Male,15,3
2013,LL fishery,Male,15,3
2014,LL fishery,Male,15,3.1
2015,LL fishery,Male,15,3.6
2016,LL fishery,Male,15,3.4
2017,LL fishery,Male,15,3.2
2005,LL survey,Female,16,4.5
2006,LL survey,Female,16,4.2
2007,LL survey,Female,16,4.8
2008,LL survey,Female,16,4.9
2009,LL survey,Female,16,4.3
2010,LL survey,Female,16,4.3
2011,LL survey,Female,16,3.7
2012,LL survey,Female,16,4.3
2013,LL survey,Female,16,4.1
2014,LL survey,Female,16,5.1
2015,LL survey,Female,16,5.1
2016,LL survey,Female,16,5.2
2017,LL survey,Female,16,5.8
2005,LL fishery,Female,16,5.4
2006,LL fishery,Female,16,4.6
2007,LL fishery,Female,16,4.5
2008,LL fishery,Female,16,4.8
2009,LL fishery,Female,16,4.5
2010,LL fishery,Female,16,4.5
2011,LL fishery,Female,16,4.5
2012,LL fishery,Female,16,4.5
2013,LL fishery,Female,16,4.2
2014,LL fishery,Female,16,5
2015,LL fishery,Female,16,5.6
2016,LL fishery,Female,16,5.4
2017,LL fishery,Female,16,5.3
2005,LL survey,Male,16,3
2006,LL survey,Male,16,3
2007,LL survey,Male,16,2.9
2008,LL survey,Male,16,3.2
2009,LL survey,Male,16,2.9
2010,LL survey,Male,16,3
2011,LL survey,Male,16,2.9
2012,LL survey,Male,16,2.8
2013,LL survey,Male,16,2.8
2014,LL survey,Male,16,2.8
2015,LL survey,Male,16,3.5
2016,LL survey,Male,16,3.2
2017,LL survey,Male,16,3
2005,LL fishery,Male,16,3.5
2006,LL fishery,Male,16,3.3
2007,LL fishery,Male,16,3.5
2008,LL fishery,Male,16,3.3
2009,LL fishery,Male,16,3
2010,LL fishery,Male,16,3.2
2011,LL fishery,Male,16,3.4
2012,LL fishery,Male,16,3.2
2013,LL fishery,Male,16,3.3
2014,LL fishery,Male,16,3.4
2015,LL fishery,Male,16,3.8
2016,LL fishery,Male,16,3.8
2017,LL fishery,Male,16,3.2
2005,LL survey,Female,17,4
2006,LL survey,Female,17,4
2007,LL survey,Female,17,5.5
2008,LL survey,Female,17,4.3
2009,LL survey,Female,17,4.7
2010,LL survey,Female,17,4.3
2011,LL survey,Female,17,5.1
2012,LL survey,Female,17,4.1
2013,LL survey,Female,17,4.9
2014,LL survey,Female,17,4.1
2015,LL survey,Female,17,4.8
2016,LL survey,Female,17,5
2017,LL survey,Female,17,5.2
2005,LL fishery,Female,17,5.9
2006,LL fishery,Female,17,5.6
2007,LL fishery,Female,17,4.9
2008,LL fishery,Female,17,4.7
2009,LL fishery,Female,17,4.4
2010,LL fishery,Female,17,4.5
2011,LL fishery,Female,17,4.4
2012,LL fishery,Female,17,5.1
2013,LL fishery,Female,17,5
2014,LL fishery,Female,17,4.7
2015,LL fishery,Female,17,5.5
2016,LL fishery,Female,17,5.3
2017,LL fishery,Female,17,5.7
2005,LL survey,Male,17,2.9
2006,LL survey,Male,17,2.8
2007,LL survey,Male,17,3.1
