year,Source,Sex,length_bin,n,proportion
2009,LL survey,Sex combined,41,0,0
2010,LL survey,Sex combined,41,0,0
2011,LL survey,Sex combined,41,0,0
2012,LL survey,Sex combined,41,1,0.0014
2013,LL survey,Sex combined,41,0,0
2014,LL survey,Sex combined,41,0,0
2015,LL survey,Sex combined,41,0,0
2016,LL survey,Sex combined,41,0,0
2017,LL survey,Sex combined,41,0,0
2018,LL survey,Sex combined,41,0,0
2019,LL survey,Sex combined,41,0,0
2020,LL survey,Sex combined,41,0,0
1997,LL survey,Sex combined,41,1,0.0019
1998,LL survey,Sex combined,41,0,0
1999,LL survey,Sex combined,41,0,0
2000,LL survey,Sex combined,41,0,0
2001,LL survey,Sex combined,41,0,0
2002,LL fishery,Female,43,0,0
2003,LL fishery,Female,43,0,0
2004,LL fishery,Female,43,0,0
2005,LL fishery,Female,43,0,0
2006,LL fishery,Female,43,0,0
2007,LL fishery,Female,43,0,0
2008,LL fishery,Female,43,0,0
2009,LL fishery,Female,43,0,0
2010,LL fishery,Female,43,0,0
2011,LL fishery,Female,43,0,0
2012,LL fishery,Female,43,0,0
2013,LL fishery,Female,43,0,0
2014,LL fishery,Female,43,0,0
2015,LL fishery,Female,43,0,0
2016,LL fishery,Female,43,0,0
2017,LL fishery,Female,43,0,0
2018,LL fishery,Female,43,0,0
2019,LL fishery,Female,43,0,0
2020,LL fishery,Female,43,0,0
2002,LL survey,Female,43,0,0
2003,LL survey,Female,43,0,0
2004,LL survey,Female,43,0,0
2005,LL survey,Female,43,0,0
2006,LL survey,Female,43,0,0
2007,LL survey,Female,43,0,0
2008,LL survey,Female,43,0,0
2009,LL survey,Female,43,0,0
2010,LL survey,Female,43,0,0
2011,LL survey,Female,43,0,0
2012,LL survey,Female,43,0,0
2013,LL survey,Female,43,0,0
2014,LL survey,Female,43,0,0
2015,LL survey,Female,43,0,0
2016,LL survey,Female,43,0,0
2017,LL survey,Female,43,1,0.0029
2018,LL survey,Female,43,1,0.0029
2019,LL survey,Female,43,0,0
2020,LL survey,Female,43,0,0
1997,LL survey,Female,43,0,0
1998,LL survey,Female,43,1,0.0051
1999,LL survey,Female,43,0,0
2000,LL survey,Female,43,0,0
2001,LL survey,Female,43,0,0
2002,LL fishery,Male,43,0,0
2003,LL fishery,Male,43,0,0
2004,LL fishery,Male,43,0,0
2005,LL fishery,Male,43,0,0
2006,LL fishery,Male,43,0,0
2007,LL fishery,Male,43,0,0
2008,LL fishery,Male,43,0,0
2009,LL fishery,Male,43,0,0
2010,LL fishery,Male,43,0,0
2011,LL fishery,Male,43,0,0
2012,LL fishery,Male,43,0,0
2013,LL fishery,Male,43,0,0
2014,LL fishery,Male,43,0,0
2015,LL fishery,Male,43,0,0
2016,LL fishery,Male,43,1,0.0019
2017,LL fishery,Male,43,0,0
2018,LL fishery,Male,43,0,0
2019,LL fishery,Male,43,0,0
2020,LL fishery,Male,43,0,0
2002,LL survey,Male,43,0,0
2003,LL survey,Male,43,0,0
2004,LL survey,Male,43,0,0
2005,LL survey,Male,43,0,0
2006,LL survey,Male,43,0,0
2007,LL survey,Male,43,0,0
2008,LL survey,Male,43,0,0
2009,LL survey,Male,43,0,0
2010,LL survey,Male,43,0,0
2011,LL survey,Male,43,0,0
2012,LL survey,Male,43,0,0
2013,LL survey,Male,43,0,0
2014,LL survey,Male,43,0,0
2015,LL survey,Male,43,0,0
2016,LL survey,Male,43,1,0.0042
2017,LL survey,Male,43,0,0
2018,LL survey,Male,43,0,0
2019,LL survey,Male,43,0,0
2020,LL survey,Male,43,0,0
1997,LL survey,Male,43,1,0.0037
1998,LL survey,Male,43,0,0
1999,LL survey,Male,43,0,0
2000,LL survey,Male,43,0,0
2001,LL survey,Male,43,0,0
2002,LL fishery,Sex combined,43,0,0
2003,LL fishery,Sex combined,43,0,0
2004,LL fishery,Sex combined,43,0,0
2005,LL fishery,Sex combined,43,0,0
2006,LL fishery,Sex combined,43,0,0
2007,LL fishery,Sex combined,43,0,0
2008,LL fishery,Sex combined,43,0,0
2009,LL fishery,Sex combined,43,0,0
2010,LL fishery,Sex combined,43,0,0
2011,LL fishery,Sex combined,43,0,0
2012,LL fishery,Sex combined,43,0,0
2013,LL fishery,Sex combined,43,0,0
2014,LL fishery,Sex combined,43,0,0
2015,LL fishery,Sex combined,43,0,0
2016,LL fishery,Sex combined,43,1,7e-4
2017,LL fishery,Sex combined,43,0,0
2018,LL fishery,Sex combined,43,0,0
2019,LL fishery,Sex combined,43,0,0
2020,LL fishery,Sex combined,43,0,0
2002,LL survey,Sex combined,43,0,0
2003,LL survey,Sex combined,43,0,0
2004,LL survey,Sex combined,43,0,0
2005,LL survey,Sex combined,43,0,0
2006,LL survey,Sex combined,43,0,0
2007,LL survey,Sex combined,43,0,0
2008,LL survey,Sex combined,43,0,0
2009,LL survey,Sex combined,43,0,0
2010,LL survey,Sex combined,43,0,0
2011,LL survey,Sex combined,43,0,0
2012,LL survey,Sex combined,43,0,0
2013,LL survey,Sex combined,43,0,0
2014,LL survey,Sex combined,43,0,0
2015,LL survey,Sex combined,43,0,0
2016,LL survey,Sex combined,43,1,0.0018
2017,LL survey,Sex combined,43,1,0.0017
2018,LL survey,Sex combined,43,1,0.0018
2019,LL survey,Sex combined,43,0,0
2020,LL survey,Sex combined,43,0,0
1997,LL survey,Sex combined,43,1,0.0019
1998,LL survey,Sex combined,43,1,0.0028
1999,LL survey,Sex combined,43,0,0
2000,LL survey,Sex combined,43,0,0
2001,LL survey,Sex combined,43,0,0
2002,LL fishery,Female,45,0,0
2003,LL fishery,Female,45,0,0
2004,LL fishery,Female,45,0,0
2005,LL fishery,Female,45,0,0
2006,LL fishery,Female,45,0,0
2007,LL fishery,Female,45,0,0
2008,LL fishery,Female,45,0,0
2009,LL fishery,Female,45,0,0
2010,LL fishery,Female,45,0,0
2011,LL fishery,Female,45,0,0
2012,LL fishery,Female,45,0,0
2013,LL fishery,Female,45,0,0
2014,LL fishery,Female,45,0,0
2015,LL fishery,Female,45,0,0
2016,LL fishery,Female,45,0,0
2017,LL fishery,Female,45,0,0
2018,LL fishery,Female,45,0,0
2019,LL fishery,Female,45,0,0
2020,LL fishery,Female,45,0,0
2002,LL survey,Female,45,0,0
2003,LL survey,Female,45,0,0
2004,LL survey,Female,45,0,0
2005,LL survey,Female,45,0,0
2006,LL survey,Female,45,0,0
2007,LL survey,Female,45,0,0
2008,LL survey,Female,45,0,0
2009,LL survey,Female,45,0,0
2010,LL survey,Female,45,4,0.0125
2011,LL survey,Female,45,0,0
2012,LL survey,Female,45,0,0
2013,LL survey,Female,45,0,0
2014,LL survey,Female,45,0,0
2015,LL survey,Female,45,0,0
2016,LL survey,Female,45,0,0
2017,LL survey,Female,45,4,0.0115
2018,LL survey,Female,45,4,0.0115
2019,LL survey,Female,45,2,0.0074
2020,LL survey,Female,45,0,0
1997,LL survey,Female,45,0,0
1998,LL survey,Female,45,0,0
1999,LL survey,Female,45,1,0.0068
2000,LL survey,Female,45,1,0.0047
2001,LL survey,Female,45,0,0
2002,LL fishery,Male,45,0,0
2003,LL fishery,Male,45,0,0
2004,LL fishery,Male,45,0,0
2005,LL fishery,Male,45,0,0
2006,LL fishery,Male,45,0,0
2007,LL fishery,Male,45,0,0
2008,LL fishery,Male,45,0,0
2009,LL fishery,Male,45,0,0
2010,LL fishery,Male,45,0,0
2011,LL fishery,Male,45,0,0
2012,LL fishery,Male,45,0,0
2013,LL fishery,Male,45,0,0
2014,LL fishery,Male,45,0,0
2015,LL fishery,Male,45,0,0
2016,LL fishery,Male,45,1,0.0019
2017,LL fishery,Male,45,0,0
2018,LL fishery,Male,45,0,0
2019,LL fishery,Male,45,0,0
2020,LL fishery,Male,45,0,0
2002,LL survey,Male,45,1,0.0028
2003,LL survey,Male,45,1,0.0025
2004,LL survey,Male,45,0,0
2005,LL survey,Male,45,0,0
2006,LL survey,Male,45,0,0
2007,LL survey,Male,45,0,0
2008,LL survey,Male,45,0,0
2009,LL survey,Male,45,0,0
2010,LL survey,Male,45,0,0
2011,LL survey,Male,45,0,0
2012,LL survey,Male,45,2,0.0063
2013,LL survey,Male,45,0,0
2014,LL survey,Male,45,1,0.0036
2015,LL survey,Male,45,1,0.005
2016,LL survey,Male,45,2,0.0084
2017,LL survey,Male,45,5,0.02
2018,LL survey,Male,45,3,0.014
2019,LL survey,Male,45,1,0.0051
2020,LL survey,Male,45,0,0
1997,LL survey,Male,45,1,0.0037
1998,LL survey,Male,45,0,0
1999,LL survey,Male,45,1,0.006
2000,LL survey,Male,45,2,0.0105
2001,LL survey,Male,45,1,0.0038
2002,LL fishery,Sex combined,45,0,0
2003,LL fishery,Sex combined,45,0,0
2004,LL fishery,Sex combined,45,0,0
2005,LL fishery,Sex combined,45,0,0
2006,LL fishery,Sex combined,45,0,0
2007,LL fishery,Sex combined,45,0,0
2008,LL fishery,Sex combined,45,0,0
2009,LL fishery,Sex combined,45,0,0
2010,LL fishery,Sex combined,45,0,0
2011,LL fishery,Sex combined,45,0,0
2012,LL fishery,Sex combined,45,0,0
2013,LL fishery,Sex combined,45,0,0
2014,LL fishery,Sex combined,45,0,0
2015,LL fishery,Sex combined,45,0,0
2016,LL fishery,Sex combined,45,1,7e-4
2017,LL fishery,Sex combined,45,0,0
2018,LL fishery,Sex combined,45,0,0
2019,LL fishery,Sex combined,45,0,0
2020,LL fishery,Sex combined,45,0,0
2002,LL survey,Sex combined,45,1,0.0015
2003,LL survey,Sex combined,45,1,0.0013
2004,LL survey,Sex combined,45,0,0
2005,LL survey,Sex combined,45,0,0
2006,LL survey,Sex combined,45,0,0
2007,LL survey,Sex combined,45,0,0
2008,LL survey,Sex combined,45,0,0
2009,LL survey,Sex combined,45,0,0
2010,LL survey,Sex combined,45,4,0.0066
2011,LL survey,Sex combined,45,0,0
2012,LL survey,Sex combined,45,2,0.0028
2013,LL survey,Sex combined,45,0,0
2014,LL survey,Sex combined,45,1,0.0018
2015,LL survey,Sex combined,45,1,0.002
2016,LL survey,Sex combined,45,2,0.0036
2017,LL survey,Sex combined,45,9,0.0151
2018,LL survey,Sex combined,45,7,0.0125
2019,LL survey,Sex combined,45,3,0.0064
2020,LL survey,Sex combined,45,0,0
1997,LL survey,Sex combined,45,1,0.0019
1998,LL survey,Sex combined,45,0,0
1999,LL survey,Sex combined,45,2,0.0063
2000,LL survey,Sex combined,45,3,0.0074
2001,LL survey,Sex combined,45,1,0.0023
2002,LL fishery,Female,47,0,0
2003,LL fishery,Female,47,0,0
2004,LL fishery,Female,47,0,0
2005,LL fishery,Female,47,0,0
2006,LL fishery,Female,47,0,0
2007,LL fishery,Female,47,0,0
2008,LL fishery,Female,47,0,0
2009,LL fishery,Female,47,0,0
2010,LL fishery,Female,47,0,0
2011,LL fishery,Female,47,0,0
2012,LL fishery,Female,47,0,0
2013,LL fishery,Female,47,0,0
2014,LL fishery,Female,47,0,0
2015,LL fishery,Female,47,1,0.0013
2016,LL fishery,Female,47,1,0.0011
2017,LL fishery,Female,47,1,0.0012
2018,LL fishery,Female,47,0,0
2019,LL fishery,Female,47,0,0
2020,LL fishery,Female,47,0,0
2002,LL survey,Female,47,2,0.0067
2003,LL survey,Female,47,2,0.0052
2004,LL survey,Female,47,0,0
2005,LL survey,Female,47,1,0.002
2006,LL survey,Female,47,0,0
2007,LL survey,Female,47,0,0
2008,LL survey,Female,47,0,0
2009,LL survey,Female,47,2,0.0055
2010,LL survey,Female,47,0,0
2011,LL survey,Female,47,0,0
2012,LL survey,Female,47,1,0.0025
2013,LL survey,Female,47,0,0
2014,LL survey,Female,47,0,0
2015,LL survey,Female,47,1,0.0034
2016,LL survey,Female,47,4,0.0126
2017,LL survey,Female,47,10,0.0288
2018,LL survey,Female,47,5,0.0144
2019,LL survey,Female,47,9,0.0335
2020,LL survey,Female,47,1,0.0027
1997,LL survey,Female,47,1,0.0038
1998,LL survey,Female,47,0,0
1999,LL survey,Female,47,4,0.027
2000,LL survey,Female,47,3,0.0141
2001,LL survey,Female,47,2,0.011
2002,LL fishery,Male,47,1,0.001
2003,LL fishery,Male,47,0,0
2004,LL fishery,Male,47,0,0
2005,LL fishery,Male,47,0,0
2006,LL fishery,Male,47,0,0
2007,LL fishery,Male,47,0,0
2008,LL fishery,Male,47,0,0
2009,LL fishery,Male,47,0,0
2010,LL fishery,Male,47,0,0
2011,LL fishery,Male,47,0,0
2012,LL fishery,Male,47,0,0
2013,LL fishery,Male,47,0,0
2014,LL fishery,Male,47,0,0
2015,LL fishery,Male,47,0,0
2016,LL fishery,Male,47,0,0
2017,LL fishery,Male,47,3,0.005
2018,LL fishery,Male,47,0,0
2019,LL fishery,Male,47,1,0.0019
2020,LL fishery,Male,47,0,0
2002,LL survey,Male,47,2,0.0057
2003,LL survey,Male,47,2,0.0051
2004,LL survey,Male,47,0,0
2005,LL survey,Male,47,0,0
2006,LL survey,Male,47,0,0
2007,LL survey,Male,47,0,0
2008,LL survey,Male,47,0,0
2009,LL survey,Male,47,0,0
2010,LL survey,Male,47,4,0.014
2011,LL survey,Male,47,2,0.0064
2012,LL survey,Male,47,2,0.0063
2013,LL survey,Male,47,0,0
2014,LL survey,Male,47,0,0
2015,LL survey,Male,47,1,0.005
2016,LL survey,Male,47,3,0.0127
2017,LL survey,Male,47,2,0.008
2018,LL survey,Male,47,3,0.014
2019,LL survey,Male,47,4,0.0202
2020,LL survey,Male,47,0,0
1997,LL survey,Male,47,0,0
1998,LL survey,Male,47,2,0.0128
1999,LL survey,Male,47,7,0.0417
2000,LL survey,Male,47,5,0.0262
2001,LL survey,Male,47,1,0.0038
2002,LL fishery,Sex combined,47,1,4e-4
2003,LL fishery,Sex combined,47,0,0
2004,LL fishery,Sex combined,47,0,0
2005,LL fishery,Sex combined,47,0,0
2006,LL fishery,Sex combined,47,0,0
2007,LL fishery,Sex combined,47,0,0
2008,LL fishery,Sex combined,47,0,0
2009,LL fishery,Sex combined,47,0,0
2010,LL fishery,Sex combined,47,0,0
2011,LL fishery,Sex combined,47,0,0
2012,LL fishery,Sex combined,47,0,0
2013,LL fishery,Sex combined,47,0,0
2014,LL fishery,Sex combined,47,0,0
2015,LL fishery,Sex combined,47,1,8e-4
2016,LL fishery,Sex combined,47,1,7e-4
2017,LL fishery,Sex combined,47,4,0.0028
2018,LL fishery,Sex combined,47,0,0
2019,LL fishery,Sex combined,47,1,7e-4
2020,LL fishery,Sex combined,47,0,0
2002,LL survey,Sex combined,47,4,0.0061
2003,LL survey,Sex combined,47,4,0.0051
2004,LL survey,Sex combined,47,0,0
2005,LL survey,Sex combined,47,1,0.0012
2006,LL survey,Sex combined,47,0,0
2007,LL survey,Sex combined,47,0,0
2008,LL survey,Sex combined,47,0,0
2009,LL survey,Sex combined,47,2,0.0032
2010,LL survey,Sex combined,47,4,0.0066
2011,LL survey,Sex combined,47,2,0.003
2012,LL survey,Sex combined,47,3,0.0041
2013,LL survey,Sex combined,47,0,0
2014,LL survey,Sex combined,47,0,0
2015,LL survey,Sex combined,47,2,0.0041
2016,LL survey,Sex combined,47,7,0.0126
2017,LL survey,Sex combined,47,12,0.0201
2018,LL survey,Sex combined,47,8,0.0142
2019,LL survey,Sex combined,47,13,0.0278
2020,LL survey,Sex combined,47,1,0.0016
1997,LL survey,Sex combined,47,1,0.0019
1998,LL survey,Sex combined,47,2,0.0057
1999,LL survey,Sex combined,47,11,0.0348
2000,LL survey,Sex combined,47,8,0.0198
2001,LL survey,Sex combined,47,3,0.0068
2002,LL fishery,Female,49,1,8e-4
2003,LL fishery,Female,49,1,0.001
2004,LL fishery,Female,49,0,0
2005,LL fishery,Female,49,0,0
2006,LL fishery,Female,49,0,0
2007,LL fishery,Female,49,0,0
2008,LL fishery,Female,49,0,0
2009,LL fishery,Female,49,0,0
2010,LL fishery,Female,49,0,0
2011,LL fishery,Female,49,0,0
2012,LL fishery,Female,49,0,0
2013,LL fishery,Female,49,0,0
2014,LL fishery,Female,49,1,0.0013
2015,LL fishery,Female,49,0,0
2016,LL fishery,Female,49,0,0
2017,LL fishery,Female,49,2,0.0024
2018,LL fishery,Female,49,0,0
2019,LL fishery,Female,49,0,0
2020,LL fishery,Female,49,0,0
2002,LL survey,Female,49,3,0.01
2003,LL survey,Female,49,2,0.0052
2004,LL survey,Female,49,1,0.0025
2005,LL survey,Female,49,0,0
2006,LL survey,Female,49,0,0
2007,LL survey,Female,49,2,0.0047
2008,LL survey,Female,49,1,0.003
2009,LL survey,Female,49,0,0
2010,LL survey,Female,49,3,0.0094
2011,LL survey,Female,49,3,0.0082
2012,LL survey,Female,49,0,0
2013,LL survey,Female,49,2,0.0078
2014,LL survey,Female,49,0,0
2015,LL survey,Female,49,2,0.0068
2016,LL survey,Female,49,12,0.0377
2017,LL survey,Female,49,5,0.0144
2018,LL survey,Female,49,9,0.0259
2019,LL survey,Female,49,8,0.0297
2020,LL survey,Female,49,3,0.008
1997,LL survey,Female,49,1,0.0038
1998,LL survey,Female,49,0,0
1999,LL survey,Female,49,6,0.0405
2000,LL survey,Female,49,5,0.0235
2001,LL survey,Female,49,3,0.0166
2002,LL fishery,Male,49,4,0.0039
2003,LL fishery,Male,49,0,0
2004,LL fishery,Male,49,2,0.0026
2005,LL fishery,Male,49,0,0
2006,LL fishery,Male,49,0,0
2007,LL fishery,Male,49,0,0
2008,LL fishery,Male,49,0,0
2009,LL fishery,Male,49,0,0
2010,LL fishery,Male,49,1,0.0018
2011,LL fishery,Male,49,0,0
2012,LL fishery,Male,49,0,0
2013,LL fishery,Male,49,1,0.0015
2014,LL fishery,Male,49,0,0
2015,LL fishery,Male,49,0,0
2016,LL fishery,Male,49,0,0
2017,LL fishery,Male,49,1,0.0017
2018,LL fishery,Male,49,0,0
2019,LL fishery,Male,49,1,0.0019
2020,LL fishery,Male,49,0,0
2002,LL survey,Male,49,2,0.0057
2003,LL survey,Male,49,9,0.0228
2004,LL survey,Male,49,1,0.0029
2005,LL survey,Male,49,0,0
2006,LL survey,Male,49,2,0.0063
2007,LL survey,Male,49,5,0.0148
2008,LL survey,Male,49,1,0.0037
2009,LL survey,Male,49,1,0.004
2010,LL survey,Male,49,3,0.0105
2011,LL survey,Male,49,3,0.0096
2012,LL survey,Male,49,2,0.0063
2013,LL survey,Male,49,1,0.0036
2014,LL survey,Male,49,0,0
2015,LL survey,Male,49,5,0.0249
2016,LL survey,Male,49,9,0.038
2017,LL survey,Male,49,5,0.02
2018,LL survey,Male,49,5,0.0233
2019,LL survey,Male,49,12,0.0606
2020,LL survey,Male,49,2,0.0084
1997,LL survey,Male,49,2,0.0074
1998,LL survey,Male,49,3,0.0192
1999,LL survey,Male,49,4,0.0238
2000,LL survey,Male,49,10,0.0524
2001,LL survey,Male,49,2,0.0076
2002,LL fishery,Sex combined,49,5,0.0022
2003,LL fishery,Sex combined,49,1,6e-4
2004,LL fishery,Sex combined,49,2,8e-4
2005,LL fishery,Sex combined,49,0,0
2006,LL fishery,Sex combined,49,0,0
2007,LL fishery,Sex combined,49,0,0
2008,LL fishery,Sex combined,49,0,0
2009,LL fishery,Sex combined,49,0,0
2010,LL fishery,Sex combined,49,1,6e-4
2011,LL fishery,Sex combined,49,0,0
2012,LL fishery,Sex combined,49,0,0
2013,LL fishery,Sex combined,49,1,7e-4
2014,LL fishery,Sex combined,49,1,7e-4
2015,LL fishery,Sex combined,49,0,0
2016,LL fishery,Sex combined,49,0,0
2017,LL fishery,Sex combined,49,3,0.0021
2018,LL fishery,Sex combined,49,0,0
2019,LL fishery,Sex combined,49,1,7e-4
2020,LL fishery,Sex combined,49,0,0
2002,LL survey,Sex combined,49,5,0.0077
2003,LL survey,Sex combined,49,11,0.0141
2004,LL survey,Sex combined,49,2,0.0027
2005,LL survey,Sex combined,49,0,0
2006,LL survey,Sex combined,49,2,0.0027
2007,LL survey,Sex combined,49,7,0.0091
2008,LL survey,Sex combined,49,2,0.0033
2009,LL survey,Sex combined,49,1,0.0016
2010,LL survey,Sex combined,49,6,0.0099
2011,LL survey,Sex combined,49,6,0.0089
2012,LL survey,Sex combined,49,2,0.0028
2013,LL survey,Sex combined,49,3,0.0056
2014,LL survey,Sex combined,49,0,0
2015,LL survey,Sex combined,49,7,0.0142
2016,LL survey,Sex combined,49,21,0.0378
2017,LL survey,Sex combined,49,10,0.0168
2018,LL survey,Sex combined,49,14,0.0249
2019,LL survey,Sex combined,49,20,0.0428
2020,LL survey,Sex combined,49,5,0.0081
1997,LL survey,Sex combined,49,3,0.0056
1998,LL survey,Sex combined,49,3,0.0085
1999,LL survey,Sex combined,49,10,0.0316
2000,LL survey,Sex combined,49,15,0.0371
2001,LL survey,Sex combined,49,5,0.0113
2002,LL fishery,Female,51,7,0.0055
2003,LL fishery,Female,51,4,0.0039
2004,LL fishery,Female,51,6,0.0038
2005,LL fishery,Female,51,1,8e-4
2006,LL fishery,Female,51,1,9e-4
2007,LL fishery,Female,51,2,0.002
2008,LL fishery,Female,51,0,0
2009,LL fishery,Female,51,2,0.0019
2010,LL fishery,Female,51,1,0.001
2011,LL fishery,Female,51,1,0.0011
2012,LL fishery,Female,51,0,0
2013,LL fishery,Female,51,1,0.0014
2014,LL fishery,Female,51,1,0.0013
2015,LL fishery,Female,51,2,0.0026
2016,LL fishery,Female,51,0,0
2017,LL fishery,Female,51,5,0.006
2018,LL fishery,Female,51,4,0.0049
2019,LL fishery,Female,51,1,0.0012
2020,LL fishery,Female,51,1,0.0013
2002,LL survey,Female,51,2,0.0067
2003,LL survey,Female,51,15,0.0387
2004,LL survey,Female,51,12,0.0304
2005,LL survey,Female,51,0,0
2006,LL survey,Female,51,3,0.0072
2007,LL survey,Female,51,3,0.007
2008,LL survey,Female,51,2,0.0059
2009,LL survey,Female,51,3,0.0082
2010,LL survey,Female,51,3,0.0094
2011,LL survey,Female,51,9,0.0247
2012,LL survey,Female,51,5,0.0123
2013,LL survey,Female,51,3,0.0117
2014,LL survey,Female,51,2,0.007
2015,LL survey,Female,51,6,0.0205
2016,LL survey,Female,51,10,0.0314
2017,LL survey,Female,51,9,0.0259
2018,LL survey,Female,51,11,0.0317
2019,LL survey,Female,51,15,0.0558
2020,LL survey,Female,51,13,0.0345
1997,LL survey,Female,51,0,0
1998,LL survey,Female,51,4,0.0203
1999,LL survey,Female,51,4,0.027
2000,LL survey,Female,51,13,0.061
2001,LL survey,Female,51,5,0.0276
2002,LL fishery,Male,51,10,0.0096
2003,LL fishery,Male,51,9,0.0116
2004,LL fishery,Male,51,2,0.0026
2005,LL fishery,Male,51,1,0.002
2006,LL fishery,Male,51,0,0
2007,LL fishery,Male,51,0,0
2008,LL fishery,Male,51,0,0
2009,LL fishery,Male,51,0,0
2010,LL fishery,Male,51,0,0
2011,LL fishery,Male,51,0,0
2012,LL fishery,Male,51,0,0
2013,LL fishery,Male,51,3,0.0044
2014,LL fishery,Male,51,0,0
2015,LL fishery,Male,51,1,0.0022
2016,LL fishery,Male,51,7,0.0135
2017,LL fishery,Male,51,1,0.0017
2018,LL fishery,Male,51,1,0.002
2019,LL fishery,Male,51,0,0
2020,LL fishery,Male,51,2,0.0039
2002,LL survey,Male,51,8,0.0228
2003,LL survey,Male,51,12,0.0305
2004,LL survey,Male,51,8,0.0233
2005,LL survey,Male,51,0,0
2006,LL survey,Male,51,3,0.0095
2007,LL survey,Male,51,6,0.0178
2008,LL survey,Male,51,0,0
2009,LL survey,Male,51,2,0.0079
2010,LL survey,Male,51,2,0.007
2011,LL survey,Male,51,10,0.0322
2012,LL survey,Male,51,5,0.0157
2013,LL survey,Male,51,2,0.0071
2014,LL survey,Male,51,0,0
2015,LL survey,Male,51,11,0.0547
2016,LL survey,Male,51,3,0.0127
