year,Source,Sex,age,n,proportion,Age
2000,LL survey,Male,2,4,0.02094,2
2001,LL survey,Male,2,2,0.00758,2
2002,LL fishery,Sex combined,2,2,8.7e-4,2
2003,LL fishery,Sex combined,2,0,0,2
2004,LL fishery,Sex combined,2,0,0,2
2005,LL fishery,Sex combined,2,2,0.00114,2
2006,LL fishery,Sex combined,2,0,0,2
2007,LL fishery,Sex combined,2,0,0,2
2008,LL fishery,Sex combined,2,0,0,2
2009,LL fishery,Sex combined,2,0,0,2
2010,LL fishery,Sex combined,2,1,6.5e-4,2
2011,LL fishery,Sex combined,2,0,0,2
2012,LL fishery,Sex combined,2,1,6.6e-4,2
2013,LL fishery,Sex combined,2,0,0,2
2014,LL fishery,Sex combined,2,0,0,2
2015,LL fishery,Sex combined,2,0,0,2
2016,LL fishery,Sex combined,2,5,0.00351,2
2017,LL fishery,Sex combined,2,3,0.00211,2
2018,LL fishery,Sex combined,2,0,0,2
2019,LL fishery,Sex combined,2,2,0.00154,2
2020,LL fishery,Sex combined,2,1,7.7e-4,2
2002,LL survey,Sex combined,2,1,0.00153,2
2003,LL survey,Sex combined,2,0,0,2
2004,LL survey,Sex combined,2,0,0,2
2005,LL survey,Sex combined,2,2,0.00229,2
2006,LL survey,Sex combined,2,0,0,2
2007,LL survey,Sex combined,2,1,0.00129,2
2008,LL survey,Sex combined,2,0,0,2
2009,LL survey,Sex combined,2,1,0.00162,2
2010,LL survey,Sex combined,2,5,0.00826,2
2011,LL survey,Sex combined,2,1,0.00148,2
2012,LL survey,Sex combined,2,1,0.00138,2
2013,LL survey,Sex combined,2,0,0,2
2014,LL survey,Sex combined,2,0,0,2
2015,LL survey,Sex combined,2,4,0.0081,2
2016,LL survey,Sex combined,2,32,0.05766,2
2017,LL survey,Sex combined,2,9,0.01508,2
2018,LL survey,Sex combined,2,6,0.01068,2
2019,LL survey,Sex combined,2,1,0.00214,2
2020,LL survey,Sex combined,2,5,0.00812,2
1997,LL survey,Sex combined,2,0,0,2
1998,LL survey,Sex combined,2,1,0.00282,2
1999,LL survey,Sex combined,2,17,0.05346,2
2000,LL survey,Sex combined,2,7,0.01733,2
2001,LL survey,Sex combined,2,3,0.00674,2
2002,LL fishery,Female,3,3,0.00237,3
2003,LL fishery,Female,3,3,0.00292,3
2004,LL fishery,Female,3,1,6.5e-4,3
2005,LL fishery,Female,3,1,8e-4,3
2006,LL fishery,Female,3,2,0.0018600000000000001,3
2007,LL fishery,Female,3,1,0.00101,3
2008,LL fishery,Female,3,1,9.9e-4,3
2009,LL fishery,Female,3,0,0,3
2010,LL fishery,Female,3,1,0.00102,3
2011,LL fishery,Female,3,2,0.00218,3
2012,LL fishery,Female,3,7,0.00758,3
2013,LL fishery,Female,3,1,0.00152,3
2014,LL fishery,Female,3,0,0,3
2015,LL fishery,Female,3,2,0.00266,3
2016,LL fishery,Female,3,10,0.01082,3
2017,LL fishery,Female,3,17,0.02048,3
2018,LL fishery,Female,3,7,0.00861,3
2019,LL fishery,Female,3,5,0.00621,3
2020,LL fishery,Female,3,5,0.00638,3
2002,LL survey,Female,3,3,0.00997,3
2003,LL survey,Female,3,0,0,3
2004,LL survey,Female,3,0,0,3
2005,LL survey,Female,3,1,0.00197,3
2006,LL survey,Female,3,1,0.0024,3
2007,LL survey,Female,3,7,0.01606,3
2008,LL survey,Female,3,4,0.01176,3
2009,LL survey,Female,3,2,0.00546,3
2010,LL survey,Female,3,0,0,3
2011,LL survey,Female,3,14,0.03836,3
2012,LL survey,Female,3,5,0.01229,3
2013,LL survey,Female,3,1,0.00391,3
2014,LL survey,Female,3,0,0,3
2015,LL survey,Female,3,7,0.02389,3
2016,LL survey,Female,3,41,0.12893,3
2017,LL survey,Female,3,27,0.07781,3
2018,LL survey,Female,3,13,0.03746,3
2019,LL survey,Female,3,23,0.0855,3
2020,LL survey,Female,3,8,0.02122,3
1997,LL survey,Female,3,0,0,3
1998,LL survey,Female,3,1,0.00508,3
1999,LL survey,Female,3,8,0.05369,3
2000,LL survey,Female,3,13,0.06103,3
2001,LL survey,Female,3,11,0.06077,3
2002,LL fishery,Male,3,2,0.00195,3
2003,LL fishery,Male,3,6,0.00781,3
2004,LL fishery,Male,3,1,0.0013,3
2005,LL fishery,Male,3,1,0.00199,3
2006,LL fishery,Male,3,3,0.00496,3
2007,LL fishery,Male,3,2,0.00392,3
2008,LL fishery,Male,3,1,0.00193,3
2009,LL fishery,Male,3,0,0,3
2010,LL fishery,Male,3,5,0.00912,3
2011,LL fishery,Male,3,2,0.00366,3
2012,LL fishery,Male,3,12,0.02,3
2013,LL fishery,Male,3,1,0.00153,3
2014,LL fishery,Male,3,0,0,3
2015,LL fishery,Male,3,0,0,3
2016,LL fishery,Male,3,12,0.0239,3
2017,LL fishery,Male,3,7,0.01186,3
2018,LL fishery,Male,3,5,0.00994,3
2019,LL fishery,Male,3,2,0.00407,3
2020,LL fishery,Male,3,2,0.00391,3
2002,LL survey,Male,3,2,0.00565,3
2003,LL survey,Male,3,0,0,3
2004,LL survey,Male,3,0,0,3
2005,LL survey,Male,3,0,0,3
2006,LL survey,Male,3,0,0,3
2007,LL survey,Male,3,10,0.0295,3
2008,LL survey,Male,3,1,0.00366,3
2009,LL survey,Male,3,0,0,3
2010,LL survey,Male,3,5,0.01754,3
2011,LL survey,Male,3,7,0.02251,3
2012,LL survey,Male,3,3,0.0094,3
2013,LL survey,Male,3,1,0.00357,3
2014,LL survey,Male,3,1,0.00364,3
2015,LL survey,Male,3,7,0.03483,3
2016,LL survey,Male,3,18,0.07595,3
2017,LL survey,Male,3,17,0.068,3
2018,LL survey,Male,3,11,0.05116,3
2019,LL survey,Male,3,14,0.07071,3
2020,LL survey,Male,3,8,0.03347,3
1997,LL survey,Male,3,1,0.0037,3
1998,LL survey,Male,3,1,0.00637,3
1999,LL survey,Male,3,7,0.04142,3
2000,LL survey,Male,3,5,0.02618,3
2001,LL survey,Male,3,8,0.0303,3
2002,LL fishery,Sex combined,3,5,0.00218,3
2003,LL fishery,Sex combined,3,9,0.00501,3
2004,LL fishery,Sex combined,3,2,8.6e-4,3
2005,LL fishery,Sex combined,3,2,0.00114,3
2006,LL fishery,Sex combined,3,5,0.00297,3
2007,LL fishery,Sex combined,3,3,0.00201,3
2008,LL fishery,Sex combined,3,2,0.00131,3
2009,LL fishery,Sex combined,3,0,0,3
2010,LL fishery,Sex combined,3,6,0.00393,3
2011,LL fishery,Sex combined,3,4,0.00273,3
2012,LL fishery,Sex combined,3,19,0.01247,3
2013,LL fishery,Sex combined,3,2,0.00153,3
2014,LL fishery,Sex combined,3,0,0,3
2015,LL fishery,Sex combined,3,2,0.00166,3
2016,LL fishery,Sex combined,3,22,0.01543,3
2017,LL fishery,Sex combined,3,24,0.0169,3
2018,LL fishery,Sex combined,3,12,0.00912,3
2019,LL fishery,Sex combined,3,7,0.0054,3
2020,LL fishery,Sex combined,3,7,0.00541,3
2002,LL survey,Sex combined,3,5,0.00763,3
2003,LL survey,Sex combined,3,0,0,3
2004,LL survey,Sex combined,3,0,0,3
2005,LL survey,Sex combined,3,1,0.00114,3
2006,LL survey,Sex combined,3,1,0.00136,3
2007,LL survey,Sex combined,3,17,0.02194,3
2008,LL survey,Sex combined,3,5,0.00816,3
2009,LL survey,Sex combined,3,2,0.00323,3
2010,LL survey,Sex combined,3,5,0.00826,3
2011,LL survey,Sex combined,3,21,0.03107,3
2012,LL survey,Sex combined,3,8,0.01102,3
2013,LL survey,Sex combined,3,2,0.00373,3
2014,LL survey,Sex combined,3,1,0.00178,3
2015,LL survey,Sex combined,3,14,0.02834,3
2016,LL survey,Sex combined,3,59,0.10631,3
2017,LL survey,Sex combined,3,44,0.0737,3
2018,LL survey,Sex combined,3,24,0.0427,3
2019,LL survey,Sex combined,3,37,0.07923,3
2020,LL survey,Sex combined,3,16,0.02597,3
1997,LL survey,Sex combined,3,1,0.00188,3
1998,LL survey,Sex combined,3,2,0.00565,3
1999,LL survey,Sex combined,3,15,0.04717,3
2000,LL survey,Sex combined,3,18,0.04455,3
2001,LL survey,Sex combined,3,19,0.0427,3
2002,LL fishery,Female,4,16,0.01263,4
2003,LL fishery,Female,4,10,0.00972,4
2004,LL fishery,Female,4,29,0.01878,4
2005,LL fishery,Female,4,11,0.00882,4
2006,LL fishery,Female,4,7,0.00651,4
2007,LL fishery,Female,4,6,0.00609,4
2008,LL fishery,Female,4,5,0.00493,4
2009,LL fishery,Female,4,0,0,4
2010,LL fishery,Female,4,10,0.0102,4
2011,LL fishery,Female,4,5,0.00544,4
2012,LL fishery,Female,4,29,0.03139,4
2013,LL fishery,Female,4,12,0.01829,4
2014,LL fishery,Female,4,4,0.00515,4
2015,LL fishery,Female,4,12,0.01594,4
2016,LL fishery,Female,4,28,0.0303,4
2017,LL fishery,Female,4,51,0.06145,4
2018,LL fishery,Female,4,30,0.0369,4
2019,LL fishery,Female,4,16,0.01988,4
2020,LL fishery,Female,4,38,0.04847,4
2002,LL survey,Female,4,8,0.02658,4
2003,LL survey,Female,4,0,0,4
2004,LL survey,Female,4,1,0.00253,4
2005,LL survey,Female,4,2,0.00394,4
2006,LL survey,Female,4,1,0.0024,4
2007,LL survey,Female,4,22,0.05046,4
2008,LL survey,Female,4,6,0.01765,4
2009,LL survey,Female,4,5,0.01366,4
2010,LL survey,Female,4,5,0.01562,4
2011,LL survey,Female,4,12,0.03288,4
2012,LL survey,Female,4,30,0.07371,4
2013,LL survey,Female,4,2,0.00781,4
2014,LL survey,Female,4,3,0.01049,4
2015,LL survey,Female,4,9,0.03072,4
2016,LL survey,Female,4,22,0.06918,4
2017,LL survey,Female,4,48,0.13833,4
2018,LL survey,Female,4,36,0.10375,4
2019,LL survey,Female,4,41,0.15242,4
2020,LL survey,Female,4,50,0.13263,4
1997,LL survey,Female,4,4,0.01527,4
1998,LL survey,Female,4,4,0.0203,4
1999,LL survey,Female,4,12,0.08054,4
2000,LL survey,Female,4,18,0.08451,4
2001,LL survey,Female,4,7,0.03867,4
2002,LL fishery,Male,4,10,0.00973,4
2003,LL fishery,Male,4,10,0.01302,4
2004,LL fishery,Male,4,11,0.01427,4
2005,LL fishery,Male,4,6,0.01193,4
2006,LL fishery,Male,4,2,0.00331,4
2007,LL fishery,Male,4,2,0.00392,4
2008,LL fishery,Male,4,2,0.00387,4
2009,LL fishery,Male,4,1,0.00195,4
2010,LL fishery,Male,4,9,0.01642,4
2011,LL fishery,Male,4,8,0.01463,4
2012,LL fishery,Male,4,10,0.01667,4
2013,LL fishery,Male,4,12,0.01835,4
2014,LL fishery,Male,4,2,0.00357,4
2015,LL fishery,Male,4,5,0.01106,4
2016,LL fishery,Male,4,15,0.02988,4
2017,LL fishery,Male,4,21,0.03559,4
2018,LL fishery,Male,4,14,0.02783,4
2019,LL fishery,Male,4,9,0.01829,4
2020,LL fishery,Male,4,15,0.02935,4
2002,LL survey,Male,4,3,0.00847,4
2003,LL survey,Male,4,1,0.00253,4
2004,LL survey,Male,4,1,0.0029,4
2005,LL survey,Male,4,2,0.00543,4
2006,LL survey,Male,4,1,0.00313,4
2007,LL survey,Male,4,16,0.0472,4
2008,LL survey,Male,4,4,0.01465,4
2009,LL survey,Male,4,2,0.00791,4
2010,LL survey,Male,4,0,0,4
2011,LL survey,Male,4,11,0.03537,4
2012,LL survey,Male,4,24,0.07524,4
2013,LL survey,Male,4,3,0.01071,4
2014,LL survey,Male,4,1,0.00364,4
2015,LL survey,Male,4,19,0.09453,4
2016,LL survey,Male,4,16,0.06751,4
2017,LL survey,Male,4,29,0.116,4
2018,LL survey,Male,4,22,0.10233,4
2019,LL survey,Male,4,25,0.12626,4
2020,LL survey,Male,4,25,0.1046,4
1997,LL survey,Male,4,1,0.0037,4
1998,LL survey,Male,4,4,0.02548,4
1999,LL survey,Male,4,13,0.07692,4
2000,LL survey,Male,4,8,0.04188,4
2001,LL survey,Male,4,14,0.05303,4
2002,LL fishery,Sex combined,4,26,0.01133,4
2003,LL fishery,Sex combined,4,20,0.01113,4
2004,LL fishery,Sex combined,4,40,0.01728,4
2005,LL fishery,Sex combined,4,17,0.00971,4
2006,LL fishery,Sex combined,4,9,0.00535,4
2007,LL fishery,Sex combined,4,8,0.00535,4
2008,LL fishery,Sex combined,4,7,0.00457,4
2009,LL fishery,Sex combined,4,1,6.4e-4,4
2010,LL fishery,Sex combined,4,19,0.01243,4
2011,LL fishery,Sex combined,4,13,0.00887,4
2012,LL fishery,Sex combined,4,39,0.02559,4
2013,LL fishery,Sex combined,4,24,0.01832,4
2014,LL fishery,Sex combined,4,6,0.00448,4
2015,LL fishery,Sex combined,4,17,0.01411,4
2016,LL fishery,Sex combined,4,43,0.03015,4
2017,LL fishery,Sex combined,4,72,0.0507,4
2018,LL fishery,Sex combined,4,44,0.03343,4
2019,LL fishery,Sex combined,4,25,0.01928,4
2020,LL fishery,Sex combined,4,53,0.04093,4
2002,LL survey,Sex combined,4,11,0.01679,4
2003,LL survey,Sex combined,4,1,0.00128,4
2004,LL survey,Sex combined,4,2,0.0027,4
2005,LL survey,Sex combined,4,4,0.00457,4
2006,LL survey,Sex combined,4,2,0.00272,4
2007,LL survey,Sex combined,4,38,0.04903,4
2008,LL survey,Sex combined,4,10,0.01631,4
2009,LL survey,Sex combined,4,7,0.01131,4
2010,LL survey,Sex combined,4,5,0.00826,4
2011,LL survey,Sex combined,4,23,0.03402,4
2012,LL survey,Sex combined,4,54,0.07438,4
2013,LL survey,Sex combined,4,5,0.00933,4
2014,LL survey,Sex combined,4,4,0.00713,4
2015,LL survey,Sex combined,4,28,0.05668,4
2016,LL survey,Sex combined,4,38,0.06847,4
2017,LL survey,Sex combined,4,77,0.12898,4
2018,LL survey,Sex combined,4,58,0.1032,4
2019,LL survey,Sex combined,4,66,0.14133,4
2020,LL survey,Sex combined,4,75,0.12175,4
1997,LL survey,Sex combined,4,5,0.0094,4
1998,LL survey,Sex combined,4,8,0.0226,4
1999,LL survey,Sex combined,4,25,0.07862,4
2000,LL survey,Sex combined,4,26,0.06436,4
2001,LL survey,Sex combined,4,21,0.04719,4
2002,LL fishery,Female,5,48,0.03788,5
2003,LL fishery,Female,5,74,0.07191,5
2004,LL fishery,Female,5,54,0.03497,5
2005,LL fishery,Female,5,46,0.03689,5
2006,LL fishery,Female,5,35,0.03253,5
2007,LL fishery,Female,5,23,0.02333,5
2008,LL fishery,Female,5,20,0.0197,5
2009,LL fishery,Female,5,6,0.00574,5
2010,LL fishery,Female,5,15,0.01531,5
2011,LL fishery,Female,5,15,0.01632,5
2012,LL fishery,Female,5,46,0.04978,5
2013,LL fishery,Female,5,29,0.04421,5
2014,LL fishery,Female,5,18,0.02317,5
2015,LL fishery,Female,5,26,0.03453,5
2016,LL fishery,Female,5,27,0.02922,5
2017,LL fishery,Female,5,39,0.04699,5
2018,LL fishery,Female,5,57,0.07011,5
2019,LL fishery,Female,5,47,0.05839,5
2020,LL fishery,Female,5,94,0.1199,5
2002,LL survey,Female,5,19,0.06312,5
2003,LL survey,Female,5,20,0.05155,5
2004,LL survey,Female,5,9,0.02278,5
2005,LL survey,Female,5,11,0.0217,5
2006,LL survey,Female,5,2,0.0048,5
2007,LL survey,Female,5,21,0.04817,5
2008,LL survey,Female,5,9,0.02647,5
2009,LL survey,Female,5,10,0.02732,5
2010,LL survey,Female,5,7,0.02188,5
2011,LL survey,Female,5,17,0.04658,5
2012,LL survey,Female,5,48,0.11794,5
2013,LL survey,Female,5,18,0.07031,5
2014,LL survey,Female,5,4,0.01399,5
2015,LL survey,Female,5,16,0.05461,5
2016,LL survey,Female,5,17,0.05346,5
2017,LL survey,Female,5,50,0.14409,5
2018,LL survey,Female,5,51,0.14697,5
2019,LL survey,Female,5,46,0.171,5
2020,LL survey,Female,5,76,0.20159,5
1997,LL survey,Female,5,6,0.0229,5
1998,LL survey,Female,5,9,0.04569,5
1999,LL survey,Female,5,13,0.08725,5
2000,LL survey,Female,5,22,0.10329,5
2001,LL survey,Female,5,14,0.07735,5
2002,LL fishery,Male,5,29,0.02821,5
2003,LL fishery,Male,5,42,0.05469,5
2004,LL fishery,Male,5,32,0.0415,5
2005,LL fishery,Male,5,21,0.04175,5
2006,LL fishery,Male,5,15,0.02479,5
2007,LL fishery,Male,5,14,0.02745,5
2008,LL fishery,Male,5,15,0.02901,5
2009,LL fishery,Male,5,3,0.00584,5
2010,LL fishery,Male,5,10,0.01825,5
2011,LL fishery,Male,5,6,0.01097,5
2012,LL fishery,Male,5,13,0.02167,5
2013,LL fishery,Male,5,15,0.02294,5
2014,LL fishery,Male,5,10,0.01783,5
2015,LL fishery,Male,5,8,0.0177,5
2016,LL fishery,Male,5,16,0.03187,5
2017,LL fishery,Male,5,23,0.03898,5
2018,LL fishery,Male,5,25,0.0497,5
2019,LL fishery,Male,5,13,0.02642,5
2020,LL fishery,Male,5,26,0.05088,5
2002,LL survey,Male,5,17,0.04802,5
2003,LL survey,Male,5,17,0.04293,5
2004,LL survey,Male,5,8,0.02319,5
2005,LL survey,Male,5,9,0.02446,5
2006,LL survey,Male,5,0,0,5
2007,LL survey,Male,5,21,0.06195,5
2008,LL survey,Male,5,8,0.0293,5
2009,LL survey,Male,5,6,0.02372,5
2010,LL survey,Male,5,4,0.01404,5
2011,LL survey,Male,5,20,0.06431,5
2012,LL survey,Male,5,47,0.14734,5
2013,LL survey,Male,5,7,0.025,5
2014,LL survey,Male,5,10,0.03636,5
2015,LL survey,Male,5,15,0.07463,5
2016,LL survey,Male,5,15,0.06329,5
2017,LL survey,Male,5,32,0.128,5
2018,LL survey,Male,5,18,0.08372,5
2019,LL survey,Male,5,22,0.11111,5
2020,LL survey,Male,5,42,0.17573,5
1997,LL survey,Male,5,1,0.0037,5
1998,LL survey,Male,5,9,0.05732,5
1999,LL survey,Male,5,5,0.02959,5
2000,LL survey,Male,5,16,0.08377,5
2001,LL survey,Male,5,19,0.07197,5
2002,LL fishery,Sex combined,5,77,0.03355,5
2003,LL fishery,Sex combined,5,116,0.06455,5
2004,LL fishery,Sex combined,5,86,0.03715,5
2005,LL fishery,Sex combined,5,67,0.03829,5
2006,LL fishery,Sex combined,5,50,0.02974,5
2007,LL fishery,Sex combined,5,37,0.02473,5
2008,LL fishery,Sex combined,5,35,0.02285,5
2009,LL fishery,Sex combined,5,9,0.00577,5
2010,LL fishery,Sex combined,5,25,0.01636,5
2011,LL fishery,Sex combined,5,21,0.01432,5
2012,LL fishery,Sex combined,5,59,0.03871,5
2013,LL fishery,Sex combined,5,44,0.03359,5
2014,LL fishery,Sex combined,5,28,0.02093,5
2015,LL fishery,Sex combined,5,34,0.02822,5
2016,LL fishery,Sex combined,5,43,0.03015,5
2017,LL fishery,Sex combined,5,62,0.04366,5
2018,LL fishery,Sex combined,5,82,0.06231,5
2019,LL fishery,Sex combined,5,60,0.04626,5
2020,LL fishery,Sex combined,5,120,0.09266,5
2002,LL survey,Sex combined,5,36,0.05496,5
2003,LL survey,Sex combined,5,37,0.04719,5
2004,LL survey,Sex combined,5,17,0.02297,5
2005,LL survey,Sex combined,5,20,0.02286,5
2006,LL survey,Sex combined,5,2,0.00272,5
2007,LL survey,Sex combined,5,42,0.05419,5
2008,LL survey,Sex combined,5,17,0.02773,5
2009,LL survey,Sex combined,5,16,0.02585,5
2010,LL survey,Sex combined,5,11,0.01818,5
2011,LL survey,Sex combined,5,37,0.05473,5
2012,LL survey,Sex combined,5,95,0.13085,5
2013,LL survey,Sex combined,5,25,0.04664,5
2014,LL survey,Sex combined,5,14,0.02496,5
2015,LL survey,Sex combined,5,31,0.06275,5
2016,LL survey,Sex combined,5,32,0.05766,5
2017,LL survey,Sex combined,5,82,0.13735,5
2018,LL survey,Sex combined,5,69,0.12278,5
2019,LL survey,Sex combined,5,68,0.14561,5
2020,LL survey,Sex combined,5,118,0.19156,5
1997,LL survey,Sex combined,5,7,0.01316,5
1998,LL survey,Sex combined,5,18,0.05085,5
1999,LL survey,Sex combined,5,18,0.0566,5
2000,LL survey,Sex combined,5,38,0.09406,5
2001,LL survey,Sex combined,5,33,0.07416,5
2002,LL fishery,Female,6,89,0.07024,6
2003,LL fishery,Female,6,100,0.09718,6
2004,LL fishery,Female,6,183,0.11852,6
2005,LL fishery,Female,6,85,0.06816,6
2006,LL fishery,Female,6,63,0.05855,6
2007,LL fishery,Female,6,45,0.04564,6
2008,LL fishery,Female,6,30,0.02956,6
2009,LL fishery,Female,6,24,0.02294,6
2010,LL fishery,Female,6,25,0.02551,6
2011,LL fishery,Female,6,26,0.02829,6
2012,LL fishery,Female,6,37,0.04004,6
2013,LL fishery,Female,6,37,0.0564,6
2014,LL fishery,Female,6,42,0.05405,6
2015,LL fishery,Female,6,27,0.03586,6
2016,LL fishery,Female,6,40,0.04329,6
2017,LL fishery,Female,6,33,0.03976,6
2018,LL fishery,Female,6,41,0.05043,6
2019,LL fishery,Female,6,70,0.08696,6
2020,LL fishery,Female,6,106,0.1352,6
2002,LL survey,Female,6,30,0.09967,6
2003,LL survey,Female,6,13,0.03351,6
2004,LL survey,Female,6,26,0.06582,6
2005,LL survey,Female,6,36,0.07101,6
2006,LL survey,Female,6,5,0.01199,6
2007,LL survey,Female,6,32,0.07339,6
2008,LL survey,Female,6,14,0.04118,6
2009,LL survey,Female,6,18,0.04918,6
2010,LL survey,Female,6,8,0.025,6
2011,LL survey,Female,6,23,0.06301,6
2012,LL survey,Female,6,37,0.09091,6
2013,LL survey,Female,6,28,0.10938,6
2014,LL survey,Female,6,16,0.05594,6
2015,LL survey,Female,6,15,0.05119,6
2016,LL survey,Female,6,19,0.05975,6
2017,LL survey,Female,6,25,0.07205,6
2018,LL survey,Female,6,47,0.13545,6
2019,LL survey,Female,6,31,0.11524,6
2020,LL survey,Female,6,73,0.19363,6
1997,LL survey,Female,6,12,0.0458,6
1998,LL survey,Female,6,10,0.05076,6
1999,LL survey,Female,6,21,0.14094,6
2000,LL survey,Female,6,15,0.07042,6
2001,LL survey,Female,6,15,0.08287,6
2002,LL fishery,Male,6,62,0.06031,6
2003,LL fishery,Male,6,73,0.09505,6
2004,LL fishery,Male,6,90,0.11673,6
2005,LL fishery,Male,6,31,0.06163,6
2006,LL fishery,Male,6,38,0.06281,6
2007,LL fishery,Male,6,28,0.0549,6
2008,LL fishery,Male,6,14,0.02708,6
2009,LL fishery,Male,6,8,0.01556,6
2010,LL fishery,Male,6,17,0.03102,6
2011,LL fishery,Male,6,12,0.02194,6
2012,LL fishery,Male,6,22,0.03667,6
2013,LL fishery,Male,6,21,0.03211,6
2014,LL fishery,Male,6,13,0.02317,6
2015,LL fishery,Male,6,5,0.01106,6
2016,LL fishery,Male,6,29,0.05777,6
2017,LL fishery,Male,6,15,0.02542,6
2018,LL fishery,Male,6,22,0.04374,6
2019,LL fishery,Male,6,9,0.01829,6
2020,LL fishery,Male,6,32,0.06262,6
2002,LL survey,Male,6,44,0.12429,6
2003,LL survey,Male,6,21,0.05303,6
2004,LL survey,Male,6,17,0.04928,6
2005,LL survey,Male,6,16,0.04348,6
2006,LL survey,Male,6,6,0.01881,6
2007,LL survey,Male,6,35,0.10324,6
2008,LL survey,Male,6,18,0.06593,6
2009,LL survey,Male,6,13,0.05138,6
2010,LL survey,Male,6,13,0.04561,6
2011,LL survey,Male,6,10,0.03215,6
2012,LL survey,Male,6,22,0.06897,6
2013,LL survey,Male,6,24,0.08571,6
2014,LL survey,Male,6,19,0.06909,6
2015,LL survey,Male,6,15,0.07463,6
2016,LL survey,Male,6,14,0.05907,6
2017,LL survey,Male,6,10,0.04,6
2018,LL survey,Male,6,17,0.07907,6
2019,LL survey,Male,6,24,0.12121,6
2020,LL survey,Male,6,28,0.11715,6
1997,LL survey,Male,6,6,0.02222,6
1998,LL survey,Male,6,7,0.04459,6
1999,LL survey,Male,6,13,0.07692,6
2000,LL survey,Male,6,23,0.12042,6
2001,LL survey,Male,6,22,0.08333,6
2002,LL fishery,Sex combined,6,151,0.0658,6
2003,LL fishery,Sex combined,6,173,0.09627,6
2004,LL fishery,Sex combined,6,273,0.11793,6
2005,LL fishery,Sex combined,6,116,0.06629,6
2006,LL fishery,Sex combined,6,101,0.06008,6
2007,LL fishery,Sex combined,6,73,0.0488,6
2008,LL fishery,Sex combined,6,44,0.02872,6
