year,Source,Sex,age,n,proportion,Age
2004,LL fishery,Sex combined,2,0,0,2
2005,LL fishery,Sex combined,2,2,0.00114,2
2006,LL fishery,Sex combined,2,0,0,2
2007,LL fishery,Sex combined,2,0,0,2
2008,LL fishery,Sex combined,2,0,0,2
2009,LL fishery,Sex combined,2,0,0,2
2010,LL fishery,Sex combined,2,1,6.5e-4,2
2011,LL fishery,Sex combined,2,0,0,2
2012,LL fishery,Sex combined,2,1,6.6e-4,2
2013,LL fishery,Sex combined,2,0,0,2
2014,LL fishery,Sex combined,2,0,0,2
2015,LL fishery,Sex combined,2,0,0,2
2016,LL fishery,Sex combined,2,5,0.00351,2
2017,LL fishery,Sex combined,2,3,0.00211,2
2018,LL fishery,Sex combined,2,0,0,2
2019,LL fishery,Sex combined,2,2,0.00154,2
2002,LL survey,Sex combined,2,1,0.0015,2
2003,LL survey,Sex combined,2,0,0,2
2004,LL survey,Sex combined,2,0,0,2
2005,LL survey,Sex combined,2,2,0.00227,2
2006,LL survey,Sex combined,2,0,0,2
2007,LL survey,Sex combined,2,1,0.00129,2
2008,LL survey,Sex combined,2,0,0,2
2009,LL survey,Sex combined,2,1,0.00162,2
2010,LL survey,Sex combined,2,5,0.00826,2
2011,LL survey,Sex combined,2,1,0.00148,2
2012,LL survey,Sex combined,2,1,0.00138,2
2013,LL survey,Sex combined,2,0,0,2
2014,LL survey,Sex combined,2,0,0,2
2015,LL survey,Sex combined,2,4,0.00805,2
2016,LL survey,Sex combined,2,32,0.05755,2
2017,LL survey,Sex combined,2,9,0.01473,2
2018,LL survey,Sex combined,2,6,0.01033,2
2019,LL survey,Sex combined,2,1,0.00206,2
1997,LL survey,Sex combined,2,1,0.0018600000000000001,2
1998,LL survey,Sex combined,2,1,0.00281,2
1999,LL survey,Sex combined,2,19,0.05588,2
2000,LL survey,Sex combined,2,7,0.01711,2
2001,LL survey,Sex combined,2,3,0.00655,2
2002,LL fishery,Female,3,3,0.00237,3
2003,LL fishery,Female,3,3,0.00292,3
2004,LL fishery,Female,3,1,6.5e-4,3
2005,LL fishery,Female,3,1,8e-4,3
2006,LL fishery,Female,3,2,0.0018600000000000001,3
2007,LL fishery,Female,3,1,0.00101,3
2008,LL fishery,Female,3,1,9.9e-4,3
2009,LL fishery,Female,3,0,0,3
2010,LL fishery,Female,3,1,0.00102,3
2011,LL fishery,Female,3,2,0.00218,3
2012,LL fishery,Female,3,7,0.00758,3
2013,LL fishery,Female,3,1,0.00152,3
2014,LL fishery,Female,3,0,0,3
2015,LL fishery,Female,3,2,0.00266,3
2016,LL fishery,Female,3,10,0.01082,3
2017,LL fishery,Female,3,17,0.02048,3
2018,LL fishery,Female,3,7,0.00861,3
2019,LL fishery,Female,3,5,0.00621,3
2002,LL survey,Female,3,3,0.00987,3
2003,LL survey,Female,3,0,0,3
2004,LL survey,Female,3,1,0.00244,3
2005,LL survey,Female,3,1,0.00195,3
2006,LL survey,Female,3,1,0.00238,3
2007,LL survey,Female,3,7,0.01602,3
2008,LL survey,Female,3,4,0.01176,3
2009,LL survey,Female,3,2,0.00546,3
2010,LL survey,Female,3,0,0,3
2011,LL survey,Female,3,14,0.03836,3
2012,LL survey,Female,3,5,0.01229,3
2013,LL survey,Female,3,1,0.00383,3
2014,LL survey,Female,3,0,0,3
2015,LL survey,Female,3,7,0.02389,3
2016,LL survey,Female,3,41,0.12893,3
2017,LL survey,Female,3,27,0.07692,3
2018,LL survey,Female,3,13,0.03683,3
2019,LL survey,Female,3,24,0.08664,3
1997,LL survey,Female,3,0,0,3
1998,LL survey,Female,3,1,0.00505,3
1999,LL survey,Female,3,8,0.05128,3
2000,LL survey,Female,3,13,0.06019,3
2001,LL survey,Female,3,11,0.06011,3
2002,LL fishery,Male,3,2,0.00195,3
2003,LL fishery,Male,3,6,0.00781,3
2004,LL fishery,Male,3,1,0.0013,3
2005,LL fishery,Male,3,1,0.00199,3
2006,LL fishery,Male,3,3,0.00496,3
2007,LL fishery,Male,3,2,0.00392,3
2008,LL fishery,Male,3,1,0.00193,3
2009,LL fishery,Male,3,0,0,3
2010,LL fishery,Male,3,5,0.00912,3
2011,LL fishery,Male,3,2,0.00366,3
2012,LL fishery,Male,3,12,0.02,3
2013,LL fishery,Male,3,1,0.00153,3
2014,LL fishery,Male,3,0,0,3
2015,LL fishery,Male,3,0,0,3
2016,LL fishery,Male,3,12,0.0239,3
2017,LL fishery,Male,3,7,0.01186,3
2018,LL fishery,Male,3,5,0.00994,3
2019,LL fishery,Male,3,2,0.00407,3
2002,LL survey,Male,3,2,0.00552,3
2003,LL survey,Male,3,0,0,3
2004,LL survey,Male,3,0,0,3
2005,LL survey,Male,3,0,0,3
2006,LL survey,Male,3,0,0,3
2007,LL survey,Male,3,10,0.0295,3
2008,LL survey,Male,3,1,0.00366,3
2009,LL survey,Male,3,0,0,3
2010,LL survey,Male,3,5,0.01754,3
2011,LL survey,Male,3,7,0.02251,3
2012,LL survey,Male,3,3,0.0094,3
2013,LL survey,Male,3,1,0.00346,3
2014,LL survey,Male,3,1,0.00362,3
2015,LL survey,Male,3,7,0.03431,3
2016,LL survey,Male,3,18,0.07563,3
2017,LL survey,Male,3,17,0.06538,3
2018,LL survey,Male,3,11,0.04825,3
2019,LL survey,Male,3,14,0.06731,3
1997,LL survey,Male,3,1,0.00366,3
1998,LL survey,Male,3,1,0.00633,3
1999,LL survey,Male,3,7,0.03804,3
2000,LL survey,Male,3,5,0.02591,3
2001,LL survey,Male,3,8,0.02909,3
2002,LL fishery,Sex combined,3,5,0.00218,3
2003,LL fishery,Sex combined,3,9,0.00501,3
2004,LL fishery,Sex combined,3,2,8.6e-4,3
2005,LL fishery,Sex combined,3,2,0.00114,3
2006,LL fishery,Sex combined,3,5,0.00297,3
2007,LL fishery,Sex combined,3,3,0.00201,3
2008,LL fishery,Sex combined,3,2,0.00131,3
2009,LL fishery,Sex combined,3,0,0,3
2010,LL fishery,Sex combined,3,6,0.00393,3
2011,LL fishery,Sex combined,3,4,0.00273,3
2012,LL fishery,Sex combined,3,19,0.01247,3
2013,LL fishery,Sex combined,3,2,0.00153,3
2014,LL fishery,Sex combined,3,0,0,3
2015,LL fishery,Sex combined,3,2,0.00166,3
2016,LL fishery,Sex combined,3,22,0.01543,3
2017,LL fishery,Sex combined,3,24,0.0169,3
2018,LL fishery,Sex combined,3,12,0.00912,3
2019,LL fishery,Sex combined,3,7,0.0054,3
2002,LL survey,Sex combined,3,5,0.00751,3
2003,LL survey,Sex combined,3,0,0,3
2004,LL survey,Sex combined,3,1,0.00129,3
2005,LL survey,Sex combined,3,1,0.00114,3
2006,LL survey,Sex combined,3,1,0.00135,3
2007,LL survey,Sex combined,3,17,0.02191,3
2008,LL survey,Sex combined,3,5,0.00816,3
2009,LL survey,Sex combined,3,2,0.00323,3
2010,LL survey,Sex combined,3,5,0.00826,3
2011,LL survey,Sex combined,3,21,0.03107,3
2012,LL survey,Sex combined,3,8,0.01102,3
2013,LL survey,Sex combined,3,2,0.00364,3
2014,LL survey,Sex combined,3,1,0.00177,3
2015,LL survey,Sex combined,3,14,0.02817,3
2016,LL survey,Sex combined,3,59,0.10612,3
2017,LL survey,Sex combined,3,44,0.07201,3
2018,LL survey,Sex combined,3,24,0.04131,3
2019,LL survey,Sex combined,3,38,0.07835,3
1997,LL survey,Sex combined,3,1,0.0018600000000000001,3
1998,LL survey,Sex combined,3,2,0.00562,3
1999,LL survey,Sex combined,3,15,0.04412,3
2000,LL survey,Sex combined,3,18,0.04401,3
2001,LL survey,Sex combined,3,19,0.04148,3
2002,LL fishery,Female,4,16,0.01263,4
2003,LL fishery,Female,4,10,0.00972,4
2004,LL fishery,Female,4,29,0.01878,4
2005,LL fishery,Female,4,11,0.00882,4
2006,LL fishery,Female,4,7,0.00651,4
2007,LL fishery,Female,4,6,0.00609,4
2008,LL fishery,Female,4,5,0.00493,4
2009,LL fishery,Female,4,0,0,4
2010,LL fishery,Female,4,10,0.0102,4
2011,LL fishery,Female,4,5,0.00544,4
2012,LL fishery,Female,4,29,0.03139,4
2013,LL fishery,Female,4,12,0.01829,4
2014,LL fishery,Female,4,4,0.00515,4
2015,LL fishery,Female,4,12,0.01594,4
2016,LL fishery,Female,4,28,0.0303,4
2017,LL fishery,Female,4,51,0.06145,4
2018,LL fishery,Female,4,30,0.0369,4
2019,LL fishery,Female,4,16,0.01988,4
2002,LL survey,Female,4,8,0.02632,4
2003,LL survey,Female,4,0,0,4
2004,LL survey,Female,4,1,0.00244,4
2005,LL survey,Female,4,2,0.00391,4
2006,LL survey,Female,4,1,0.00238,4
2007,LL survey,Female,4,22,0.05034,4
2008,LL survey,Female,4,6,0.01765,4
2009,LL survey,Female,4,5,0.01366,4
2010,LL survey,Female,4,5,0.01562,4
2011,LL survey,Female,4,12,0.03288,4
2012,LL survey,Female,4,30,0.07371,4
2013,LL survey,Female,4,2,0.00766,4
2014,LL survey,Female,4,3,0.01038,4
2015,LL survey,Female,4,9,0.03072,4
2016,LL survey,Female,4,22,0.06918,4
2017,LL survey,Female,4,48,0.13675,4
2018,LL survey,Female,4,37,0.10482,4
2019,LL survey,Female,4,42,0.15162,4
1997,LL survey,Female,4,4,0.01515,4
1998,LL survey,Female,4,4,0.0202,4
1999,LL survey,Female,4,15,0.09615,4
2000,LL survey,Female,4,19,0.08796,4
2001,LL survey,Female,4,9,0.04918,4
2002,LL fishery,Male,4,10,0.00973,4
2003,LL fishery,Male,4,10,0.01302,4
2004,LL fishery,Male,4,11,0.01427,4
2005,LL fishery,Male,4,6,0.01193,4
2006,LL fishery,Male,4,2,0.00331,4
2007,LL fishery,Male,4,2,0.00392,4
2008,LL fishery,Male,4,2,0.00387,4
2009,LL fishery,Male,4,1,0.00195,4
2010,LL fishery,Male,4,9,0.01642,4
2011,LL fishery,Male,4,8,0.01463,4
2012,LL fishery,Male,4,10,0.01667,4
2013,LL fishery,Male,4,12,0.01835,4
2014,LL fishery,Male,4,2,0.00357,4
2015,LL fishery,Male,4,5,0.01106,4
2016,LL fishery,Male,4,15,0.02988,4
2017,LL fishery,Male,4,21,0.03559,4
2018,LL fishery,Male,4,14,0.02783,4
2019,LL fishery,Male,4,9,0.01829,4
2002,LL survey,Male,4,4,0.01105,4
2003,LL survey,Male,4,1,0.00251,4
2004,LL survey,Male,4,3,0.00817,4
2005,LL survey,Male,4,2,0.00542,4
2006,LL survey,Male,4,1,0.00313,4
2007,LL survey,Male,4,16,0.0472,4
2008,LL survey,Male,4,4,0.01465,4
2009,LL survey,Male,4,2,0.00791,4
2010,LL survey,Male,4,0,0,4
2011,LL survey,Male,4,11,0.03537,4
2012,LL survey,Male,4,24,0.07524,4
2013,LL survey,Male,4,3,0.01038,4
2014,LL survey,Male,4,1,0.00362,4
2015,LL survey,Male,4,19,0.09314,4
2016,LL survey,Male,4,16,0.06723,4
2017,LL survey,Male,4,29,0.11154,4
2018,LL survey,Male,4,22,0.09649,4
2019,LL survey,Male,4,26,0.125,4
1997,LL survey,Male,4,1,0.00366,4
1998,LL survey,Male,4,5,0.03165,4
1999,LL survey,Male,4,15,0.08152,4
2000,LL survey,Male,4,8,0.04145,4
2001,LL survey,Male,4,14,0.05091,4
2002,LL fishery,Sex combined,4,26,0.01133,4
2003,LL fishery,Sex combined,4,20,0.01113,4
2004,LL fishery,Sex combined,4,40,0.01728,4
2005,LL fishery,Sex combined,4,17,0.00971,4
2006,LL fishery,Sex combined,4,9,0.00535,4
2007,LL fishery,Sex combined,4,8,0.00535,4
2008,LL fishery,Sex combined,4,7,0.00457,4
2009,LL fishery,Sex combined,4,1,6.4e-4,4
2010,LL fishery,Sex combined,4,19,0.01243,4
2011,LL fishery,Sex combined,4,13,0.00887,4
2012,LL fishery,Sex combined,4,39,0.02559,4
2013,LL fishery,Sex combined,4,24,0.01832,4
2014,LL fishery,Sex combined,4,6,0.00448,4
2015,LL fishery,Sex combined,4,17,0.01411,4
2016,LL fishery,Sex combined,4,43,0.03015,4
2017,LL fishery,Sex combined,4,72,0.0507,4
2018,LL fishery,Sex combined,4,44,0.03343,4
2019,LL fishery,Sex combined,4,25,0.01928,4
2002,LL survey,Sex combined,4,12,0.01802,4
2003,LL survey,Sex combined,4,1,0.00127,4
2004,LL survey,Sex combined,4,4,0.00515,4
2005,LL survey,Sex combined,4,4,0.00454,4
2006,LL survey,Sex combined,4,2,0.00271,4
2007,LL survey,Sex combined,4,38,0.04897,4
2008,LL survey,Sex combined,4,10,0.01631,4
2009,LL survey,Sex combined,4,7,0.01131,4
2010,LL survey,Sex combined,4,5,0.00826,4
2011,LL survey,Sex combined,4,23,0.03402,4
2012,LL survey,Sex combined,4,54,0.07438,4
2013,LL survey,Sex combined,4,5,0.00909,4
2014,LL survey,Sex combined,4,4,0.00708,4
2015,LL survey,Sex combined,4,28,0.05634,4
2016,LL survey,Sex combined,4,38,0.06835,4
2017,LL survey,Sex combined,4,77,0.12602,4
2018,LL survey,Sex combined,4,59,0.10155,4
2019,LL survey,Sex combined,4,68,0.14021,4
1997,LL survey,Sex combined,4,5,0.00931,4
1998,LL survey,Sex combined,4,9,0.02528,4
1999,LL survey,Sex combined,4,30,0.08824,4
2000,LL survey,Sex combined,4,27,0.06601,4
2001,LL survey,Sex combined,4,23,0.05022,4
2002,LL fishery,Female,5,48,0.03788,5
2003,LL fishery,Female,5,74,0.07191,5
2004,LL fishery,Female,5,54,0.03497,5
2005,LL fishery,Female,5,46,0.03689,5
2006,LL fishery,Female,5,35,0.03253,5
2007,LL fishery,Female,5,23,0.02333,5
2008,LL fishery,Female,5,20,0.0197,5
2009,LL fishery,Female,5,6,0.00574,5
2010,LL fishery,Female,5,15,0.01531,5
2011,LL fishery,Female,5,15,0.01632,5
2012,LL fishery,Female,5,46,0.04978,5
2013,LL fishery,Female,5,29,0.04421,5
2014,LL fishery,Female,5,18,0.02317,5
2015,LL fishery,Female,5,26,0.03453,5
2016,LL fishery,Female,5,27,0.02922,5
2017,LL fishery,Female,5,39,0.04699,5
2018,LL fishery,Female,5,57,0.07011,5
2019,LL fishery,Female,5,47,0.05839,5
2002,LL survey,Female,5,20,0.06579,5
2003,LL survey,Female,5,21,0.05371,5
2004,LL survey,Female,5,12,0.02927,5
2005,LL survey,Female,5,11,0.02148,5
2006,LL survey,Female,5,2,0.00476,5
2007,LL survey,Female,5,21,0.04805,5
2008,LL survey,Female,5,9,0.02647,5
2009,LL survey,Female,5,10,0.02732,5
2010,LL survey,Female,5,7,0.02188,5
2011,LL survey,Female,5,17,0.04658,5
2012,LL survey,Female,5,48,0.11794,5
2013,LL survey,Female,5,18,0.06897,5
2014,LL survey,Female,5,4,0.01384,5
2015,LL survey,Female,5,16,0.05461,5
2016,LL survey,Female,5,17,0.05346,5
2017,LL survey,Female,5,50,0.14245,5
2018,LL survey,Female,5,51,0.14448,5
2019,LL survey,Female,5,47,0.16968,5
1997,LL survey,Female,5,6,0.02273,5
1998,LL survey,Female,5,9,0.04545,5
1999,LL survey,Female,5,14,0.08974,5
2000,LL survey,Female,5,23,0.10648,5
2001,LL survey,Female,5,14,0.0765,5
2002,LL fishery,Male,5,29,0.02821,5
2003,LL fishery,Male,5,42,0.05469,5
2004,LL fishery,Male,5,32,0.0415,5
2005,LL fishery,Male,5,21,0.04175,5
2006,LL fishery,Male,5,15,0.02479,5
2007,LL fishery,Male,5,14,0.02745,5
2008,LL fishery,Male,5,15,0.02901,5
2009,LL fishery,Male,5,3,0.00584,5
2010,LL fishery,Male,5,10,0.01825,5
2011,LL fishery,Male,5,6,0.01097,5
2012,LL fishery,Male,5,13,0.02167,5
2013,LL fishery,Male,5,15,0.02294,5
2014,LL fishery,Male,5,10,0.01783,5
2015,LL fishery,Male,5,8,0.0177,5
2016,LL fishery,Male,5,16,0.03187,5
2017,LL fishery,Male,5,23,0.03898,5
2018,LL fishery,Male,5,25,0.0497,5
2019,LL fishery,Male,5,13,0.02642,5
2002,LL survey,Male,5,17,0.04696,5
2003,LL survey,Male,5,17,0.04261,5
2004,LL survey,Male,5,11,0.02997,5
2005,LL survey,Male,5,9,0.02439,5
2006,LL survey,Male,5,0,0,5
2007,LL survey,Male,5,21,0.06195,5
2008,LL survey,Male,5,8,0.0293,5
2009,LL survey,Male,5,6,0.02372,5
2010,LL survey,Male,5,4,0.01404,5
2011,LL survey,Male,5,20,0.06431,5
2012,LL survey,Male,5,47,0.14734,5
2013,LL survey,Male,5,7,0.02422,5
2014,LL survey,Male,5,10,0.03623,5
2015,LL survey,Male,5,15,0.07353,5
2016,LL survey,Male,5,15,0.06303,5
2017,LL survey,Male,5,32,0.12308,5
2018,LL survey,Male,5,18,0.07895,5
2019,LL survey,Male,5,23,0.11058,5
1997,LL survey,Male,5,1,0.00366,5
1998,LL survey,Male,5,9,0.05696,5
1999,LL survey,Male,5,7,0.03804,5
2000,LL survey,Male,5,16,0.0829,5
2001,LL survey,Male,5,19,0.06909,5
2002,LL fishery,Sex combined,5,77,0.03355,5
2003,LL fishery,Sex combined,5,116,0.06455,5
2004,LL fishery,Sex combined,5,86,0.03715,5
2005,LL fishery,Sex combined,5,67,0.03829,5
2006,LL fishery,Sex combined,5,50,0.02974,5
2007,LL fishery,Sex combined,5,37,0.02473,5
2008,LL fishery,Sex combined,5,35,0.02285,5
2009,LL fishery,Sex combined,5,9,0.00577,5
2010,LL fishery,Sex combined,5,25,0.01636,5
2011,LL fishery,Sex combined,5,21,0.01432,5
2012,LL fishery,Sex combined,5,59,0.03871,5
2013,LL fishery,Sex combined,5,44,0.03359,5
2014,LL fishery,Sex combined,5,28,0.02093,5
2015,LL fishery,Sex combined,5,34,0.02822,5
2016,LL fishery,Sex combined,5,43,0.03015,5
2017,LL fishery,Sex combined,5,62,0.04366,5
2018,LL fishery,Sex combined,5,82,0.06231,5
2019,LL fishery,Sex combined,5,60,0.04626,5
2002,LL survey,Sex combined,5,37,0.05556,5
2003,LL survey,Sex combined,5,38,0.0481,5
2004,LL survey,Sex combined,5,23,0.0296,5
2005,LL survey,Sex combined,5,20,0.0227,5
2006,LL survey,Sex combined,5,2,0.00271,5
2007,LL survey,Sex combined,5,42,0.05412,5
2008,LL survey,Sex combined,5,17,0.02773,5
2009,LL survey,Sex combined,5,16,0.02585,5
2010,LL survey,Sex combined,5,11,0.01818,5
2011,LL survey,Sex combined,5,37,0.05473,5
2012,LL survey,Sex combined,5,95,0.13085,5
2013,LL survey,Sex combined,5,25,0.04545,5
2014,LL survey,Sex combined,5,14,0.02478,5
2015,LL survey,Sex combined,5,31,0.06237,5
2016,LL survey,Sex combined,5,32,0.05755,5
2017,LL survey,Sex combined,5,82,0.13421,5
2018,LL survey,Sex combined,5,69,0.11876,5
2019,LL survey,Sex combined,5,70,0.14433000000000001,5
1997,LL survey,Sex combined,5,7,0.01304,5
1998,LL survey,Sex combined,5,18,0.05056,5
1999,LL survey,Sex combined,5,21,0.06176,5
2000,LL survey,Sex combined,5,39,0.09535,5
2001,LL survey,Sex combined,5,33,0.07205,5
2002,LL fishery,Female,6,89,0.07024,6
2003,LL fishery,Female,6,100,0.09718,6
2004,LL fishery,Female,6,183,0.11852,6
2005,LL fishery,Female,6,85,0.06816,6
2006,LL fishery,Female,6,63,0.05855,6
2007,LL fishery,Female,6,45,0.04564,6
2008,LL fishery,Female,6,30,0.02956,6
2009,LL fishery,Female,6,24,0.02294,6
2010,LL fishery,Female,6,25,0.02551,6
2011,LL fishery,Female,6,26,0.02829,6
2012,LL fishery,Female,6,37,0.04004,6
2013,LL fishery,Female,6,37,0.0564,6
2014,LL fishery,Female,6,42,0.05405,6
2015,LL fishery,Female,6,27,0.03586,6
2016,LL fishery,Female,6,40,0.04329,6
2017,LL fishery,Female,6,33,0.03976,6
2018,LL fishery,Female,6,41,0.05043,6
2019,LL fishery,Female,6,70,0.08696,6
2002,LL survey,Female,6,30,0.09868,6
2003,LL survey,Female,6,14,0.03581,6
2004,LL survey,Female,6,26,0.06341,6
2005,LL survey,Female,6,36,0.07031,6
2006,LL survey,Female,6,5,0.0119,6
2007,LL survey,Female,6,32,0.07323,6
2008,LL survey,Female,6,14,0.04118,6
2009,LL survey,Female,6,18,0.04918,6
2010,LL survey,Female,6,8,0.025,6
2011,LL survey,Female,6,23,0.06301,6
2012,LL survey,Female,6,37,0.09091,6
2013,LL survey,Female,6,28,0.10728,6
2014,LL survey,Female,6,17,0.05882,6
2015,LL survey,Female,6,15,0.05119,6
2016,LL survey,Female,6,19,0.05975,6
2017,LL survey,Female,6,25,0.07123,6
2018,LL survey,Female,6,47,0.13314,6
2019,LL survey,Female,6,31,0.11191,6
1997,LL survey,Female,6,12,0.04545,6
1998,LL survey,Female,6,10,0.05051,6
1999,LL survey,Female,6,21,0.13462,6
2000,LL survey,Female,6,16,0.07407,6
2001,LL survey,Female,6,15,0.08197,6
2002,LL fishery,Male,6,62,0.06031,6
2003,LL fishery,Male,6,73,0.09505,6
2004,LL fishery,Male,6,90,0.11673,6
2005,LL fishery,Male,6,31,0.06163,6
2006,LL fishery,Male,6,38,0.06281,6
2007,LL fishery,Male,6,28,0.0549,6
2008,LL fishery,Male,6,14,0.02708,6
2009,LL fishery,Male,6,8,0.01556,6
2010,LL fishery,Male,6,17,0.03102,6
2011,LL fishery,Male,6,12,0.02194,6
2012,LL fishery,Male,6,22,0.03667,6
2013,LL fishery,Male,6,21,0.03211,6
2014,LL fishery,Male,6,13,0.02317,6
2015,LL fishery,Male,6,5,0.01106,6
2016,LL fishery,Male,6,29,0.05777,6
2017,LL fishery,Male,6,15,0.02542,6
2018,LL fishery,Male,6,22,0.04374,6
2019,LL fishery,Male,6,9,0.01829,6
2002,LL survey,Male,6,46,0.12707,6
2003,LL survey,Male,6,21,0.05263,6
2004,LL survey,Male,6,19,0.05177,6
2005,LL survey,Male,6,16,0.04336,6
2006,LL survey,Male,6,6,0.01881,6
2007,LL survey,Male,6,35,0.10324,6
2008,LL survey,Male,6,18,0.06593,6
2009,LL survey,Male,6,13,0.05138,6
2010,LL survey,Male,6,13,0.04561,6
2011,LL survey,Male,6,10,0.03215,6
2012,LL survey,Male,6,22,0.06897,6
2013,LL survey,Male,6,24,0.08304,6
2014,LL survey,Male,6,19,0.06884,6
2015,LL survey,Male,6,15,0.07353,6
2016,LL survey,Male,6,14,0.05882,6
2017,LL survey,Male,6,10,0.03846,6
2018,LL survey,Male,6,17,0.07456,6
2019,LL survey,Male,6,24,0.11538,6
1997,LL survey,Male,6,6,0.02198,6
1998,LL survey,Male,6,7,0.0443,6
1999,LL survey,Male,6,15,0.08152,6
2000,LL survey,Male,6,25,0.12953,6
2001,LL survey,Male,6,25,0.09091,6
2002,LL fishery,Sex combined,6,151,0.0658,6
2003,LL fishery,Sex combined,6,173,0.09627,6
2004,LL fishery,Sex combined,6,273,0.11793,6
2005,LL fishery,Sex combined,6,116,0.06629,6
2006,LL fishery,Sex combined,6,101,0.06008,6
2007,LL fishery,Sex combined,6,73,0.0488,6
2008,LL fishery,Sex combined,6,44,0.02872,6
2009,LL fishery,Sex combined,6,32,0.02051,6
2010,LL fishery,Sex combined,6,42,0.02749,6
2011,LL fishery,Sex combined,6,38,0.02592,6
2012,LL fishery,Sex combined,6,59,0.03871,6
2013,LL fishery,Sex combined,6,58,0.04427,6
2014,LL fishery,Sex combined,6,55,0.04111,6
2015,LL fishery,Sex combined,6,32,0.02656,6
2016,LL fishery,Sex combined,6,69,0.04839,6
2017,LL fishery,Sex combined,6,48,0.0338,6
2018,LL fishery,Sex combined,6,63,0.04787,6
2019,LL fishery,Sex combined,6,79,0.06091,6
2002,LL survey,Sex combined,6,76,0.11411,6
2003,LL survey,Sex combined,6,35,0.0443,6
2004,LL survey,Sex combined,6,45,0.05792,6
2005,LL survey,Sex combined,6,52,0.05902,6
2006,LL survey,Sex combined,6,11,0.014880000000000001,6
2007,LL survey,Sex combined,6,67,0.08634,6
2008,LL survey,Sex combined,6,32,0.0522,6
2009,LL survey,Sex combined,6,31,0.05008,6
2010,LL survey,Sex combined,6,21,0.03471,6
2011,LL survey,Sex combined,6,33,0.04882,6
2012,LL survey,Sex combined,6,59,0.08127,6
2013,LL survey,Sex combined,6,52,0.09455,6
2014,LL survey,Sex combined,6,36,0.06372,6
